@relation small-slice-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute X numeric
@attribute Y numeric
@attribute CLASS {0,1}

@data
0.385,0.395,1
0.581,0.361,1
0.602,0.63,1
0.349,0.476,1
0.371,0.599,1
0.431,0.352,1
0.341,0.507,1
0.344,0.541,1
0.521,0.668,1
0.511,0.345,1
0.633,0.608,1
0.355,0.574,1
0.617,0.622,1
0.414,0.366,1
0.666,0.527,1
0.488,0.668,1
0.461,0.666,1
0.537,0.347,1
0.562,0.662,1
0.592,0.645,1
0.666,0.549,1
0.403,0.376,1
0.48,0.34,1
0.488,0.339,1
0.34,0.497,1
0.586,0.645,1
0.61,0.627,1
0.474,0.664,1
0.668,0.499,1
0.643,0.597,1
0.356,0.436,1
0.605,0.632,1
0.35,0.434,1
0.506,0.339,1
0.668,0.53,1
0.383,0.39,1
0.656,0.575,1
0.578,0.653,1
0.438,0.656,1
0.488,0.665,1
0.561,0.666,1
0.351,0.566,1
0.448,0.349,1
0.342,0.467,1
0.483,0.344,1
0.418,0.645,1
0.604,0.374,1
0.347,0.532,1
0.36,0.437,1
0.36,0.584,1
0.667,0.518,1
0.396,0.378,1
0.524,0.664,1
0.342,0.516,1
0.418,0.362,1
0.664,0.457,1
0.437,0.36,1
0.665,0.512,1
0.494,0.67,1
0.664,0.554,1
0.497,0.345,1
0.565,0.663,1
0.589,0.647,1
0.657,0.563,1
0.659,0.544,1
0.563,0.354,1
0.34,0.469,1
0.394,0.392,1
0.652,0.591,1
0.496,0.673,1
0.366,0.406,1
0.668,0.495,1
0.664,0.541,1
0.653,0.561,1
0.345,0.5,1
0.624,0.618,1
0.528,0.667,1
0.459,0.347,1
0.652,0.437,1
0.624,0.392,1
0.612,0.631,1
0.362,0.413,1
0.526,0.663,1
0.466,0.343,1
0.363,0.415,1
0.506,0.34,1
0.35,0.469,1
0.5,0.338,1
0.654,0.586,1
0.614,0.636,1
0.66,0.462,1
0.434,0.356,1
0.385,0.396,1
0.403,0.385,1
0.449,0.657,1
0.603,0.639,1
0.349,0.549,1
0.501,0.336,1
0.385,0.389,1
0.469,0.668,1
0.364,0.411,1
0.668,0.494,1
0.639,0.599,1
0.389,0.387,1
0.543,0.348,1
0.348,0.539,1
0.516,0.668,1
0.346,0.557,1
0.385,0.386,1
0.435,0.362,1
0.37,0.416,1
0.396,0.386,1
0.342,0.462,1
0.399,0.381,1
0.668,0.501,1
0.666,0.536,1
0.658,0.567,1
0.655,0.58,1
0.459,0.664,1
0.362,0.416,1
0.658,0.553,1
0.343,0.541,1
0.355,0.429,1
0.651,0.569,1
0.576,0.659,1
0.396,0.387,1
0.556,0.346,1
0.353,0.444,1
0.612,0.381,1
0.653,0.58,1
0.394,0.387,1
0.604,0.643,1
0.652,0.433,1
0.365,0.591,1
0.572,0.653,1
0.552,0.665,1
0.568,0.355,1
0.664,0.536,1
0.345,0.54,1
0.479,0.67,1
0.606,0.629,1
0.348,0.452,1
0.344,0.527,1
0.351,0.44,1
0.668,0.503,1
0.339,0.516,1
0.603,0.629,1
0.665,0.543,1
0.551,0.344,1
0.554,0.659,1
0.66,0.564,1
0.547,0.66,1
0.434,0.357,1
0.605,0.633,1
0.354,0.434,1
0.652,0.579,1
0.612,0.635,1
0.646,0.581,1
0.653,0.565,1
0.619,0.621,1
0.416,0.644,1
0.654,0.433,1
0.384,0.387,1
0.461,0.345,1
0.387,0.389,1
0.525,0.344,1
0.668,0.465,1
