@relation and_swe_-_-

@attribute 'Bug 1' numeric
@attribute 'Bug 2' numeric
@attribute bmfu numeric
@attribute bmfb numeric
@attribute prod numeric
@attribute comp numeric
@attribute type numeric
@attribute prior numeric
@attribute vers numeric
@attribute ' requirements1' numeric
@attribute ' design1' numeric
@attribute ' construction1' numeric
@attribute ' testing1' numeric
@attribute ' maintain1' numeric
@attribute ' configuration1' numeric
@attribute ' SEmanage1' numeric
@attribute ' process1' numeric
@attribute ' SEmethods1' numeric
@attribute ' quality1' numeric
@attribute ' practice1' numeric
@attribute ' economics1' numeric
@attribute ' comp1' numeric
@attribute ' maths1' numeric
@attribute ' eng1' numeric
@attribute ' requirements2' numeric
@attribute ' design2' numeric
@attribute ' construction2' numeric
@attribute ' testing2' numeric
@attribute ' maintain2' numeric
@attribute ' configuration2' numeric
@attribute ' SEmanage2' numeric
@attribute ' process2' numeric
@attribute ' SEmethods2' numeric
@attribute ' quality2' numeric
@attribute ' practice2' numeric
@attribute ' economics2' numeric
@attribute ' comp2' numeric
@attribute ' maths2' numeric
@attribute ' eng2' numeric
@attribute cosine_similarity numeric
@attribute class {dup,non}

@data
37520,35759,2.7,0,0,0,1,1,0,8.89,1.11,2.71,5.99,3.71,5.34,4.09,3.2,5.19,4.65,2.43,4.76,3.86,4.68,8.64,11.28,3.65,6.19,4.88,3.09,6.97,6.65,8.58,5.29,6.27,7.02,2.67,5.54,6.13,6.71,0.925,dup
37520,35653,2.25,0,0,0,1,1,0,8.89,1.11,2.71,5.99,3.71,5.34,4.09,3.2,5.19,4.65,2.43,4.76,3.86,4.68,8.64,13,8.38,4.48,6.8,6.8,7.01,10.15,11.09,6.33,10.77,6.95,2.64,9.43,6.59,5.75,0.884,dup
37520,35414,2.36,0,0,0,1,1,0,8.89,1.11,2.71,5.99,3.71,5.34,4.09,3.2,5.19,4.65,2.43,4.76,3.86,4.68,8.64,9.86,6.07,7.38,9.87,8.59,7.29,9.3,6.73,8.1,4.65,7.95,5.94,9.39,8.74,8.81,0.933,dup
37520,34880,1.96,0,0,0,1,1,0,8.89,1.11,2.71,5.99,3.71,5.34,4.09,3.2,5.19,4.65,2.43,4.76,3.86,4.68,8.64,13.16,8.17,8.24,9.2,11.35,11.15,9.09,13.13,10.83,9.95,10.88,9.8,8.29,9.17,8.59,0.92,dup
37427,33788,23.89,16.89,0,1,1,1,0,16.63,11.44,6.32,10.45,10.33,13.93,11.81,11.4,9.43,13.09,8.68,9.8,14.07,10.93,8.54,18.53,13.21,8.88,12.2,12.09,16.67,12.47,13.74,12.14,14.41,9.53,14.16,14.78,15.04,10.44,0.996,dup
37198,37197,39.97,76.95,0,0,1,1,0,14.69,11.35,6.03,9.27,12.21,15.71,10.98,10.48,7.79,13.28,9.74,10.96,12.26,12.59,9.53,14.69,11.35,6.03,9.27,12.21,15.71,10.98,10.48,7.79,13.28,9.74,10.96,12.26,12.59,9.53,1,dup
37036,29439,8.53,6.41,0,1,0,1,0,12.63,6.63,6.98,6.84,4.93,6.76,6.81,6.47,5.45,8.09,5.94,4.31,10.35,4.76,2.16,10.82,7.78,3.72,5.21,8.52,11.63,8.67,5.84,5.91,7.63,6.36,3.51,10.37,4.06,7.85,0.945,dup
37019,37018,28.14,85.37,0,0,1,1,0,12.63,4.67,6.68,5.87,5.19,7.32,7,7.29,3.34,7.47,3.03,5.19,4.47,7.02,6.51,12.63,4.67,6.68,5.87,5.19,7.32,7,7.29,3.34,7.47,3.03,5.19,4.47,7.02,6.51,1,dup
36996,36995,66.17,124.56,0,0,1,1,0.2,10.38,4.72,6.63,5.1,7.57,4.77,7.41,4.64,3.87,6.87,4.19,3.74,11.08,4.24,4.09,11.02,5.54,6.94,5.63,8.33,5.75,8.23,5.73,5.01,7.61,4.84,4.88,11.65,5.26,5.18,0.998,dup
36952,36829,15.51,11.85,0,1,1,1,0,9.4,6.6,3.13,3.37,5.23,6.45,3.63,5.06,1.37,4.94,5.34,5.68,7.5,5.84,4.32,18.58,15.2,6.68,8.93,13.94,13.76,10.92,11.42,8.75,12.29,9.94,12.78,17.09,13.85,9.05,0.987,dup
