@relation large.json
@attribute id integer
@attribute owner string
@attribute content string
@data
2574,'','Custom logging override still produces default log file\nWhen a user overrides logging to use a custom one, the host override is too late and the default log still executes creating a default log file with at least 2 INFO entries in it.\r\n\r\nThis occurs because INFO is the default level.\r\n\r\nA solution is to ensure all logging entries before the user can override are below the default INFO level.'
2573,'','Throw from NServiceBus.MsmqUtilities.Convert will result in message loss\nFixed so when `NServiceBus.MsmqUtilities.Convert` throws the message will be sent to the error queue\r\n\r\n--\r\n\r\nClone of #2463'
2569,'','Changed link to class from the core to copy\nLinked files do not transfer over with the source package, whit result that acceptance tests for transports did not compile anymore'
2566,'','NSB 4 with Castle Windsor: Performance is slow while debugger is attached\n--\r\n\r\nCould we please have a backport of #1989 to NSB 4? We are using NSB 4 and are also running into this issue. It causes performance to run at about 1% of normal speed when a debugger is attached'
2563,'','TimeoutPersisterReceiver line 88 TimeoutsPersister null\nMy endpoint is configured as following:\r\n\r\n```C#\r\n       public void Customize(BusConfiguration configuration)\r\n        {\r\n            configuration.UseSerialization<JsonSerializer>();\r\n            configuration.EnableInstallers();\r\n            configuration.UsePersistence<MsmqPersistence>();\r\n            configuration.UseTransport<MsmqTransport>();\r\n        }\r\n```\r\n\r\nand the project uses NServiceBus.Host.exe.\r\n\r\nHow can I specify the TimeoutsPersister?\r\n'
2562,'','SyncOMatic update\n'
2561,'','External persistences are not configured correctly if excluded from assemblies to scan\nBlows up with\r\n\r\n```\r\n\r\nSystem.NullReferenceException was unhandled by user code\r\n  HResult=-2147467261\r\n  Message=Object reference not set to an instance of an object.\r\n  Source=NServiceBus.Core\r\n  StackTrace:\r\n       at NServiceBus.Timeout.Hosting.Windows.TimeoutPersisterReceiver.Poll(Object obj) in c:\\BuildAgent\\work\\1b05a2fea6e4cd32\\src\\NServiceBus.Core\\Timeout\\Hosting\\Windows\\TimeoutPersisterReceiver.cs:line 88\r\n       at System.Threading.Tasks.Task.InnerInvoke()\r\n       at System.Threading.Tasks.Task.Execute()\r\n  InnerException: \r\n\r\n\r\n```\r\n\r\nOriginally raised on the group: https://groups.google.com/forum/?utm_medium=email&utm_source=footer#!msg/particularsoftware/hvE59bwTehQ/v8HvkIySFl4J\r\n### Repro\r\n```\r\n class Program\r\n    {\r\n        static void Main(string[] args)\r\n        {\r\n            var config = new BusConfiguration();\r\n\r\n            config.AssembliesToScan(typeof(Program).Assembly);\r\n\r\n            config.UsePersistence<RavenDBPersistence>();\r\n\r\n            using (var bus = Bus.Create(config))\r\n            {\r\n                bus.Start();\r\n                Console.ReadKey();\r\n            }\r\n        }\r\n    }'
2560,'',"INeedToInstallSomething code documentation\nDoco was urging implementing the generic version instead, but that's obsolete now."
2559,'','SyncOMatic update\n'
2558,'','Adding an explicit configuration API for users to set the host identifier\nThis is another take on #2529.\r\n\r\nThis attempt tries to simplify even further the API to set the default host identifier.\r\n\r\nHere is the proposed new API for end users:\r\n```c#\r\nbusConfiguration.UniquelyIdentifyRunningInstance()\r\n                                       .UsingNames(instanceName, hostName);\r\n// or\r\nbusConfiguration.UniquelyIdentifyRunningInstance()\r\n                                       UsingCustomIdentifier(hostId);\r\n```\r\n\r\nHere is how Azure would override the default host information:\r\n```c#\r\npublic class MyFeatureThatOverridesHostInformationDefaults : Feature\r\n{\r\n    public MyFeatureThatOverridesHostInformationDefaults()\r\n    {\r\n        EnableByDefault();\r\n        DependsOn("UnicastBus");\r\n        Defaults(s =>\r\n        {\r\n            s.SetDefault("NServiceBus.HostInformation.HostId", hostId);\r\n            s.SetDefault("NServiceBus.HostInformation.DisplayName", instanceName);\r\n            s.SetDefault("NServiceBus.HostInformation.Properties", new Dictionary<string, string>\r\n            {\r\n                {"RoleName", "My role name"},\r\n                {"RoleInstanceId", "the role instance id"},\r\n            });\r\n        });\r\n    }\r\n\r\n    protected override void Setup(FeatureConfigurationContext context)\r\n    {\r\n    }\r\n}\r\n```'
