@relation large.json
@attribute id integer
@attribute owner string
@attribute content string
@data
2553,'SzymonPobiega','4.7.x NServiceBus.Core NuGet package does not contain Init.ps1 script\nNuGet Install-Package NServiceBus.Host fails for >=4.7.0 with the following error message:\r\n"Add-NServiceBusMessageForwardingInCaseOfFaultConfig : The term \'Add-NServiceBusMessageForwardingInCaseOfFaultConfig\' is not recognized as the name of a cmdlet, function, script file, or operable program. Check \r\nthe spelling of the name, or if a path was included, verify that the path is correct and try again."\r\n\r\nNote that 4.6.8 and earlier versions install fine with NuGet Install-Package\r\n\r\nI\'m using a clean install of VS2013 with Update 3 on Windows 8.1.\r\n\r\nHere is the full output from the error message onwards\r\n```\r\nPM> Install-Package NServiceBus.Host -Version 4.7.3\r\n(...)\r\nAdding \'NServiceBus.Host 4.7.3\' to ClassLibraryWithNServiceBus473.\r\nSuccessfully added \'NServiceBus.Host 4.7.3\' to ClassLibraryWithNServiceBus473.\r\nAdd-NServiceBusMessageForwardingInCaseOfFaultConfig : The term \'Add-NServiceBusMessageForwardingInCaseOfFaultConfig\' is not recognized as the name of a cmdlet, function, script file, or operable program. Check \r\nthe spelling of the name, or if a path was included, verify that the path is correct and try again.\r\nAt C:\\users\\sveinfid\\documents\\visual studio 2013\\Projects\\ClassLibraryWithNServiceBus473\\packages\\NServiceBus.Host.4.7.3\\tools\\install.ps1:99 char:2\r\n+     Add-NServiceBusMessageForwardingInCaseOfFaultConfig $project.Name\r\n+     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\r\n    + CategoryInfo          : ObjectNotFound: (Add-NServiceBus...seOfFaultConfig:String) [], CommandNotFoundException\r\n    + FullyQualifiedErrorId : CommandNotFoundException\r\n \r\nAdd-NServiceBusUnicastBusConfig : The term \'Add-NServiceBusUnicastBusConfig\' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path \r\nwas included, verify that the path is correct and try again.\r\nAt C:\\users\\sveinfid\\documents\\visual studio 2013\\Projects\\ClassLibraryWithNServiceBus473\\packages\\NServiceBus.Host.4.7.3\\tools\\install.ps1:100 char:2\r\n+     Add-NServiceBusUnicastBusConfig $project.Name\r\n+     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\r\n    + CategoryInfo          : ObjectNotFound: (Add-NServiceBusUnicastBusConfig:String) [], CommandNotFoundException\r\n    + FullyQualifiedErrorId : CommandNotFoundException\r\n \r\nAdd-NServiceBusAuditConfig : The term \'Add-NServiceBusAuditConfig\' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was \r\nincluded, verify that the path is correct and try again.\r\nAt C:\\users\\sveinfid\\documents\\visual studio 2013\\Projects\\ClassLibraryWithNServiceBus473\\packages\\NServiceBus.Host.4.7.3\\tools\\install.ps1:101 char:5\r\n+     Add-NServiceBusAuditConfig $project.Name\r\n+     ~~~~~~~~~~~~~~~~~~~~~~~~~~\r\n    + CategoryInfo          : ObjectNotFound: (Add-NServiceBusAuditConfig:String) [], CommandNotFoundException\r\n    + FullyQualifiedErrorId : CommandNotFoundException\r\n ```\r\n\r\n'
2507,'SeanFeldman',"DataBus is looking for FileShareDatabusPath when it should not\n--\r\n\r\nSummary of the issue:\r\n\r\nAzureDataBusPersistence is a feature, which depends on DataBus feature, that registers BlobStorageDatabus in the container in it's setup method\r\n\r\nDataBus validates if an IDatabus is already registered, and if not tries to register FileShareDataBus, and goes to check for FileShareDataBusPath also in it's setup method\r\n\r\nBecause of the feature dependency, DataBus will run, and blow up, before AzureDataBusPersistence gets a chance to register the implemenation to the container\r\n\r\nChange we will make\r\n\r\n* Add an extension method UseDataBus<T>, which both sets a variable in the settingsholder that signals a custom databus, as well as enable the custom databus feature\r\n* Change DataBus setup to only register FileShareDataBus if the custom databus setting is not there"
2451,'johnsimons',"Callback doesn't contain message\nResponse message can now be accessed from callback.\r\n\r\nThis bug affect version 5 only.\r\n\r\nIn prior versions it was possible to access the reply message from a callback, this seem to be broken in v5.\r\n\r\nThe following acceptance test passes against v4.6 but fails for v5:\r\n```c#\r\npublic class When_using_callback_to_get_message : NServiceBusAcceptanceTest\r\n{\r\n    [Test]\r\n    public void Should_receive_message()\r\n    {\r\n        var context = new Context();\r\n\r\n        Scenario.Define(context)\r\n            .WithEndpoint<EndpointWithLocalCallback>(b => b.Given(\r\n                (bus, c) => bus.SendLocal(new MyRequest()).Register(r =>\r\n                {\r\n                    c.Reply = (MyReply)r.Messages.Single();\r\n                    c.CallbackFired = true;\r\n                })))\r\n            .Done(c => c.CallbackFired)\r\n            .Run();\r\n\r\n        Assert.IsNotNull(context.Reply);\r\n    }\r\n\r\n    public class Context : ScenarioContext\r\n    {\r\n        public bool CallbackFired { get; set; }\r\n        public MyReply Reply { get; set; }\r\n    }\r\n\r\n    public class EndpointWithLocalCallback : EndpointConfigurationBuilder\r\n    {\r\n        public EndpointWithLocalCallback()\r\n        {\r\n            EndpointSetup<DefaultServer>();\r\n        }\r\n\r\n        public class MyRequestHandler : IHandleMessages<MyRequest>\r\n        {\r\n            public IBus Bus { get; set; }\r\n\r\n            public void Handle(MyRequest request)\r\n            {\r\n                Bus.Reply(new MyReply());\r\n            }\r\n        }\r\n    }\r\n\r\n    [Serializable]\r\n    public class MyRequest : IMessage { }\r\n\r\n    [Serializable]\r\n    public class MyReply : IMessage { }\r\n}\r\n```"
2407,'SzymonPobiega',"FeatureStartupTasks are stopped too late\n--\r\nFor example the outbox cleaner for NH now and then blows up with:\r\n\r\n```\r\nNHibernatePersistence - Started @ 9/22/2014 5:26:18 PM\r\nUnhandled exception in remote appdomain: System.ObjectDisposedException: Cannot access a disposed object.\r\nObject name: 'PipelineExecutor'.\r\n   at NServiceBus.Pipeline.PipelineExecutor.get_CurrentContext() in c:\\BuildAgent\\work\\1b05a2fea6e4cd32\\src\\NServiceBus.Core\\Pipeline\\PipelineExecutor.cs:line 51\r\n   at NServiceBus.Persistence.NHibernate.DbConnectionProvider.TryGetConnection(IDbConnection& connection, String connectionString) in y:\\BuildAgent\\work\\7292bb915dd8fc2\\src\\NServiceBus.NHibernate\\SharedSession\\DbConnectionProvider.cs:line 21\r\n   at NServiceBus.Persistence.NHibernate.StorageSessionProvider.OpenSession() in y:\\BuildAgent\\work\\7292bb915dd8fc2\\src\\NServiceBus.NHibernate\\SharedSession\\StorageSessionProvider.cs:line 50\r\n   at NServiceBus.Outbox.OutboxPersister.RemoveEntriesOlderThan(DateTime dateTime) in y:\\BuildAgent\\work\\7292bb915dd8fc2\\src\\NServiceBus.NHibernate\\Outbox\\OutboxPersister.cs:line 91\r\n   at NServiceBus.Features.NHibernateOutboxStorage.OutboxCleaner.PerformCleanup(Object state) in y:\\BuildAgent\\work\\7292bb915dd8fc2\\src\\NServiceBus.NHibernate\\Outbox\\NHibernateOutboxStorage.cs:line 83\r\n   at System.Threading.ExecutionContext.RunInternal(ExecutionContext executionContext, ContextCallback callback, Object state, Boolean preserveSyncCtx)\r\n   at System.Threading.ExecutionContext.Run(ExecutionContext executionContext, ContextCallback callback, Object state, Boolean preserveSyncCtx)\r\n   at System.Threading.TimerQueueTimer.CallCallback()\r\n   at System.Threading.TimerQueueTimer.Fire()\r\n   at System.Threading.TimerQueue.FireNextTimers()\r\n```\r\n\r\nAfter looking at the code it seems to be stopping the tasks before it disposes the builder but there seems to be a race condition where the PipelineExecutor gets disposed before and causes a blow up on endpoint stop."
2397,'jdrat2000','Symantec antivirus detects nservicebus.host.exe as a threat\nSee customer feedback:\r\n\r\n> Last night our enterprise symantec installation identified nservicebus.host.exe as a potential virus and uninstalled all windows services from the servers running nservicebus.\r\n> The identified threat was: "SONAR.SuspLaunch2"\r\n> Once we removed the false hit, the windows services came back up and started processing messages again.\r\n\r\n(Desk case 6919)'
2378,'johnsimons','Saga config still static\nThe Saga feature still has 8 static fields. Which means any state in these is share across all bus instances.'
2374,'SimonCropp','DefaultRetryPolicy.NumberOfRetries and DefaultRetryPolicy.TimeIncrease are static\nWhich means they are global (last one wins) across all bus instances'
2360,'johnsimons','re add IMessageDispatcherFactory with valid obsolete message\nsooo\r\n\r\n> replacement == use the pipeline and replace the HandlerDisaptch step\r\n'
2353,'johnsimons','Timeouts and deferred messages are delivered to local worker queue, not distributor main queue\n**In NServiceBus 4.6.3, in a clustered distributor setup, timeouts and deferred messages are delivered to local queue on workers and not to clustered queue.**\r\n\r\nTimeout messages and deferred messages are delivered directly to a specific local queue (on the server which requested the timeout/deferring) and not to the clustered queue. This bypasses the regular path which involves removing a message from the storage queue and deliver the destination queue on the worker. The worker does not know this and reports back that it is ready to handle a new message after handling the timeout message, which causes the storage queue to grow.\r\n\r\nSee [question on StackOverflow](http://stackoverflow.com/questions/25684256/increasing-number-of-messages-in-storage-queues-after-saga-timeouts) for more information'
2343,'SimonCropp','Unity builder fails on the IWantToRunWhenConfigurationIsComplete registration\nThis is a v5 beta issue\r\n\r\nThe way the core registers type seems to break unity:\r\n\r\nhttp://builds.particular.net/viewLog.html?buildId=53897&buildTypeId=NServiceBusUnityContaine_2AcceptanceTests&tab=buildLog#_focus=27&state=27'
2300,'johnsimons','Raven check needs to include an upper bound range\nNServiceBus ships with RavenDB Client v2 embedded as part of the core.\r\nAs highlighted previously in [this discussion](https://groups.google.com/forum/#!msg/particularsoftware/GEBLo3U6kw0/Oi0FmNLVB1sJ) a new nuget/dll was released to work against RavenDB v2.5.\r\n\r\nSo currently anyone using NServiceBus v4 with RavenDB v2.5 Server need to be running the new [integration package](https://github.com/Particular/NServiceBus.RavenDB/releases/tag/1.0.0) otherwise them may lose messages!\r\n\r\nTo ensure that the correct version of the RavenDB integration is being used we need to modify the Raven check that we do in the Core to restrict the upper bound version to be < 2.5'
2289,'andreasohlund','split sla from critical time\n'
2268,'andreasohlund','What should !HasBuilder do?\nin Configure this\r\n\r\n            if (!HasBuilder())\r\n            {\r\n                this.DefaultBuilder();\r\n            }\r\n\r\nresults in this being called\r\n\r\n        public static Configure DefaultBuilder(this Configure config)\r\n        {\r\n           throw new NotImplementedException();\r\n        }\r\n\r\nWhich is obviously problematic'
2255,'andreasohlund','Feature Defaults lambda should only run if feature is to be enabled\n```c#\r\nclass DF : Feature\r\n{\r\n    public DF()\r\n    {\r\n        Defaults(); // This lambda should only execute is the feature is going to be enabled\r\n    }\r\n\r\n    protected override void Setup(FeatureConfigurationContext context)\r\n    {\r\n            \r\n    }\r\n}\r\n```'
2252,'andreasohlund',"Callbacks, CorrelationId and MessageId\nI open this issue to discuss something which I stumbled over regarding callback invocations in combination with message id and correlation id. Let me give you some background:\r\n\r\nWe built a bridge which transforms MSMQ message and puts them on ActiveMQ broker. The bridge uses a stateless design. In order to have a stateless design we need to encode the MSMQ queue names on the correlation id for request / response type communication. We essentially do the following : \r\n\r\nCorrelationId = CorrelationId_BridgeMarker_ReplyToQueue. \r\n\r\nOur first implementation which receives messages on ActiveMQ and puts them into MSMQ did not only set the correlation id on the transport message headers but also set the message id equal to the correlation id. Let me explain why:\r\n\r\nWhen we receive a message from ActiveMQ this could potentially start a saga. The message id of the message which started the saga is saved to the saga data in order to be able to use that message id again in the future to do a ReplyToOriginator (so essentially that message id becomes the correlation id).\r\n\r\nBut with this implementation in place the following happens when we do register callbacks on MSMQ side:\r\n\r\nbus.Send<Request>().Register<reply>();\r\n\r\nthe callback is registered internally in messageIdToAsyncResultLookup on the unicast bus. When on ActiveMQ someone replies and the bridge blindly sets the message id the callback is never invoked because of the following check in the CallbackInvocationBehavior:\r\n\r\n            if (transportMessage.CorrelationId == transportMessage.Id) //to make sure that we don't fire callbacks when doing send locals\r\n            {\r\n                return false;\r\n            }\r\n\r\nAs the commend says this check is because you don't want to fire callbacks in case of SendLocal. So if the comment is correct (and assuming it is) in our case and in case of a SendLocal this will introduce a memory leak. The lookup table will not be cleared. I currently changed our bridge to not override the MessageId in case of a message type (NOT event or command). This solves our problem currently. But I was wondering is this check really necessary?\r\n\r\nI would argue that the callback invocation behavior shouldn't need to compare against the message id. The fact that there is a callback registered should be prioritized. This would lead to the following implementation:\r\n\r\n            if (transportMessage.CorrelationId == null)\r\n            {\r\n                return false;\r\n            }\r\n\r\n            BusAsyncResult busAsyncResult;\r\n\r\n            if (!UnicastBus.messageIdToAsyncResultLookup.TryRemove(transportMessage.CorrelationId, out busAsyncResult))\r\n            {\r\n                return false;\r\n            }\r\n\r\n            // ... omitted\r\n\r\nOr is this check here because a SendLocal<Request>().Register<Reply>() will immidiately receive again the Request message type on the ReceivePhysicalMessageContext?\r\n\r\nThanks for the discussion."
