@relation large.json
@attribute id integer
@attribute owner string
@attribute content string
@data
5566,'sarina',"Lazy loading of CourseMode model's internationalization.\nThe use of `ugettext` here instead of `ugettext_lazy` can cause cyclical imports if this module is loaded earlier than expected. Per the Django documentation:\r\nhttps://docs.djangoproject.com/en/dev/topics/i18n/translation/#lazy-translation\r\n\r\nAnd yes, this merge request is happening because it happened to us and left a very cryptic 'cannot import name' error. :)\r\n\r\n* Partner information: 3rd party-hosted open edX instance\r\n* Merge deadline: would be nice to have it merged by Nov 3rd to minimize code drift, but not an edX partner so no hard requirement"
5527,'nasthagiri',"Small changes to the segment.io event handler\nFix a couple of outstanding issues discovered during end-to-end testing:\n\n1) The segment.io client libraries don't always set the channel field properly, allow it to be overridden.\n2) Parse out the userAgent from the segment.io event and put in the normal location it is found in tracking log events.\n3) The userId provided in the segment.io event is not necessarily an integer, so ensure we cast it to one before saving it out to the tracking logs.\n\nReviewers: @rocha, @nasthagiri\nFYI: @brianhw, @stroilova, @gwprice"
4871,'clintonb','This confirms the data api upgrade\n'
4818,'nedbat','Generalizing CONTRIBUTING.rst to all repos\n'
4746,'sarina','Email content history fix and additions\nThis addresses a bug in the email content history table where\r\n"Unknown" was displayed in the number of emails sent column if any sort of\r\nfailure occurred during email sending. This behavior has been edited so now\r\nthe number of emails that failed to send is displayed, along with the number\r\nof emails that were successfully sent. If the email task is still pending,\r\n"0 sent" is displayed.\r\n\r\nAs a small addition, the table now also includes the authors of previously\r\nsent emails, and the modal window for an email also displays its author.'
4713,'ormsbee','Change API of Course About Detail\nadd "course-number" 、 "status"  "title" 、 "course_image_url" 、 "short_description" 、 "university" and  "start-date" to Course About Detail '
4649,'chrisndodge','Contentstore streaming range\nCurrently, users can only download ContentStore files from first byte to last byte.\r\n\r\nWith this change, when a request to the ContentStore includes the HTTP "Range" parameter, it is parsed and StaticContentStream will stream the requested bytes.\r\n\r\nThis change makes possible to stream video files (.mp4 especially) from the ContentStore. Users can now seek a specific time in the video without loading all the file.\r\n\r\nThis is useful for courses with a limited number of students that doesn\'t require a dedicated video server.\r\n\r\n\r\nTesting : Upload a .mp4 in Files & Uploads, add a Video XBlock in a Unit. You can now load the end of the video without loading everything. I tested it on Chrome and Firefox for mp4 videos.'
4646,'sarina','Annotator Tools: Fixing annotator code break in login and dashboard\nhttps://openedx.atlassian.net/browse/LMS-11175'
4625,'sarina',"Support ipv6 in geoinfo and Embargo\nWhen someone access the OpenedX website with ipv6 address,GeoIPError('Invalid database type; expected IPv4 address') raised , because we didnot provide GeoIPv6.dat when try to exec  \r\n  country_code = pygeoip.GeoIP(DB_PATH).country_code_by_addr(new_ip_address)\r\nEmbargo is also the case\r\n\r\n"
4586,'auraz','Release edx-jsme 1.0\nAdd the edx-jsme package to edX.  \r\n\r\nThe edx-jsme package provides a new problem type for capa: Molecular Structure.'
4541,'nedbat','unicode error on discussion add and progress tab\n'
4489,'sarina','Bulk-email now have links in respective to settings.HTTPS\nBulk emails always have links on https version of course, dashboard and course image.\r\n\r\nWell, this PR fixed it. Easy-cheezey.\r\n\r\nI understand, there are no tests here. But I just cannot figure out, how test this one. If someone could help me to write tests for that...'
