@relation large.json
@attribute id integer
@attribute owner string
@attribute content string
@data
3286,'',"knife_hp fog version error\nI'm using ubuntu14.04 LTS, ruby 2.1.5p273, gem-2.2.2, knife-hp-0.4.2 and fog-1.25.0. When i try to list my hp servers, it shows the following error\r\n\r\nroot@megamd:~# knife hp server list -VV\r\nDL is deprecated, please use Fiddle\r\nWARNING: No knife configuration file found\r\nDEBUG: hp_auth_uri: https://region-a.geo-1.identity.hpcloudsvc.com:35357/v2.0/\r\nDEBUG: hp_access_key: ACCESS_KEY\r\nDEBUG: hp_secret_key: SECRET_KEY\r\nDEBUG: hp_tenant_id: TENANT_ID\r\nDEBUG: hp_avl_zone: us-west->'region-a.geo-1'\r\nDEBUG: hp_avl_zone: region-a.geo-1\r\nDEBUG: hp_avl_zone: us-west->'region-a.geo-1'\r\n/usr/local/lib/ruby/gems/2.1.0/gems/fog-1.25.0/lib/fog/hp/core.rb:159:in `authenticate_v2': uninitialized constant Fog::VERSION (NameError)\r\n\tfrom /usr/local/lib/ruby/gems/2.1.0/gems/fog-1.25.0/lib/fog/hp/compute_v2.rb:253:in `initialize'\r\n\tfrom /usr/local/lib/ruby/gems/2.1.0/gems/fog-core-1.25.0/lib/fog/core/service.rb:115:in `new'\r\n\tfrom /usr/local/lib/ruby/gems/2.1.0/gems/fog-core-1.25.0/lib/fog/core/service.rb:115:in `new'\r\n\tfrom /usr/local/lib/ruby/gems/2.1.0/gems/fog-core-1.25.0/lib/fog/compute.rb:20:in `new'\r\n\tfrom /usr/local/lib/ruby/gems/2.1.0/gems/knife-hp-0.4.2/lib/chef/knife/hp_base.rb:79:in `connection'\r\n\tfrom /usr/local/lib/ruby/gems/2.1.0/gems/knife-hp-0.4.2/lib/chef/knife/hp_server_list.rb:43:in `run'\r\n\tfrom /usr/local/lib/ruby/gems/2.1.0/gems/chef-11.16.4/lib/chef/knife.rb:493:in `run_with_pretty_exceptions'\r\n\tfrom /usr/local/lib/ruby/gems/2.1.0/gems/chef-11.16.4/lib/chef/knife.rb:174:in `run'\r\n\tfrom /usr/local/lib/ruby/gems/2.1.0/gems/chef-11.16.4/lib/chef/application/knife.rb:139:in `run'\r\n\tfrom /usr/local/lib/ruby/gems/2.1.0/gems/chef-11.16.4/bin/knife:25:in `<top (required)>'\r\n\tfrom /usr/local/bin/knife:23:in `load'\r\n\tfrom /usr/local/bin/knife:23:in `<main>'\r\n\r\nwhen i remove  Fog::VERSION from /usr/local/lib/ruby/gems/2.1.0/gems/fog-1.25.0/lib/fog/hp/core.rb:159, it works fine."
3284,'','Remove dependencies on external fog modules\nThis reduces the number of gems that fog installs for most users.\r\nUsers can choose to install modular providers on an as-needed basis.\r\n\r\nI really like that fog is going modular, but I only use AWS so all of these modules are unneeded for me. As a general policy going forward, would you consider not adding new modular providers to the gemspec?'
3283,'',"Can't find owner of S3 Object\nSorry if this is a faq. I'm trying to find the owner of an S3 Object. The following gets owner = nil,\r\nother variations give owner = { 'user_id' => nil, 'display_name' => nil }. I've verified that the ListBucketResult in the html response does include owner.\r\n\r\nAm I doing it wrong?\r\n\r\nRegards\r\nJon\r\n\r\nJon Kåre Hellan, UNINETT AS, Trondheim, Norway\r\n\r\n```\r\n#!/usr/bin/env ruby\r\nrequire 'fog'\r\n\r\nawshost     = 's3.amazonaws.com'\r\nawskey      = '99999999999999999999'\r\nawssecret   = 'zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz'\r\nbucketname  = 'jk-xyzzy'\r\nfilename    = 'bootstrap.sh'\r\n\r\nconnection = Fog::Storage.new({\r\n  :provider                 => 'AWS',\r\n  :aws_access_key_id        => awskey,\r\n  :aws_secret_access_key    => awssecret,\r\n  :host                     => awshost,\r\n  :scheme                   => 'http',\r\n})\r\nbucket = connection.directories.get(bucketname)\r\nobject = bucket.files.get(filename)\r\nputs object.key\r\np object.owner\r\n```"
3282,'','Rescue "Illegal Seek" exception in case body is a pipe or socket\nAs for Glacier, this is needed for when an unseekable IO is passed in for the body (e.g. end of a Pipe or socket).'
3281,'',"fog --version fails\nError as follows:\r\n\r\n```\r\n$ fog --version\r\n/usr/local/Homebrew/lib/ruby/gems/2.1.0/gems/fog-1.25.0/bin/fog:16:in `block (2 levels) in <top (required)>': uninitialized constant Fog::VERSION (NameError)\r\nfrom /usr/local/Homebrew/Cellar/ruby/2.1.4/lib/ruby/2.1.0/optparse.rb:1359:in `call'\r\nfrom /usr/local/Homebrew/Cellar/ruby/2.1.4/lib/ruby/2.1.0/optparse.rb:1359:in `block in parse_in_order'\r\nfrom /usr/local/Homebrew/Cellar/ruby/2.1.4/lib/ruby/2.1.0/optparse.rb:1346:in `catch'\r\nfrom /usr/local/Homebrew/Cellar/ruby/2.1.4/lib/ruby/2.1.0/optparse.rb:1346:in `parse_in_order'\r\nfrom /usr/local/Homebrew/Cellar/ruby/2.1.4/lib/ruby/2.1.0/optparse.rb:1340:in `order!'\r\nfrom /usr/local/Homebrew/Cellar/ruby/2.1.4/lib/ruby/2.1.0/optparse.rb:1432:in `permute!'\r\nfrom /usr/local/Homebrew/Cellar/ruby/2.1.4/lib/ruby/2.1.0/optparse.rb:1454:in `parse!'\r\nfrom /usr/local/Homebrew/lib/ruby/gems/2.1.0/gems/fog-1.25.0/bin/fog:25:in `<top (required)>'\r\nfrom /usr/local/Homebrew/bin/fog:23:in `load'\r\nfrom /usr/local/Homebrew/bin/fog:23:in `<main>' \r\n```\r\n\r\nThis is the same error that prevents the `rumm` Rackspace utility from functioning, it would seem (see https://github.com/rackspace/rumm/issues/93)."
3279,'',"Don't add all cloud modules as gem dependencies\nThe fog gem currently forces you to load a bunch of extra cloud gems as dependencies when they likely won't be used. These should not be required dependencies so users have the choice to only load the ones they use into their application."
3277,'',"Breaking change to AWS-S3 expiry dates in 1.25.0\nhttps://github.com/fog/fog/commit/b90b6040bcc6ea08c0d8a5cd242634994b593fa9 changes how expiry works to use X-Amz-Expires. It's a good change, but means that URLs need to be 7 days or fewer in the future (previously 1 year+ was fine).\r\n\r\nWorth documenting in the changelog?\r\n"
3276,'','Latest version 1.25.0 is giving errors\n...when writing to S3.\r\n\r\n```\r\nExcon::Errors::BadRequest: Expected(200) <=> Actual(400 Bad Request)\r\nexcon.error.response\r\n  :body          => "<?xml version=\\"1.0\\" encoding=\\"UTF-8\\"?>\\n<Error><Code>InvalidBucketName</Code><Message>The specified bucket is not valid.</Message><BucketName>my-images-production.s3-us-west-2.amazonaws.com/my-images-production</BucketName><RequestId>05B1B32ED41A5F48</RequestId><HostId>/niQQgVnvZtyzw5gU5vFzZPmuaJHqrWn8SA46fxfHDAL4G5uMxDZ81HRRk9aC3x/</HostId></Error>"\r\n  :headers       => {\r\n    "Connection"       => "close"\r\n    "Content-Type"     => "application/xml"\r\n    "Date"             => "Wed, 19 Nov 2014 03:19:05 GMT"\r\n    "Server"           => "AmazonS3"\r\n    "x-amz-id-2"       => "/niQQgVnvZtyzw5gU5vFzZPmuaJHqrWn8SA46fxfHDAL4G5uMxDZ81HRRk9aC3x/"\r\n    "x-amz-request-id" => "05B1B32ED41A5F48"\r\n  }\r\n  :local_address => "172.18.100.42"\r\n  :local_port    => 44768\r\n  :reason_phrase => "Bad Request"\r\n  :remote_ip     => "54.231.165.9"\r\n  :status        => 400\r\n```'
3275,'','Fog broken for Amazon S3 in ap-northeast-1 region after 1.25.0 release.\nFog is broken for me after upgrading to the 1.25.0 release when uploading to Amazon S3 in ap-northeast-1 region. Rolling back to 1.23.0 fixes the issue. Here\'s the error:\r\n\r\n```\r\nExcon::Errors::BadRequest: Expected(200) <=> Actual(400 Bad Request)\r\nexcon.error.response\r\n  :body          => "<?xml version=\\"1.0\\" encoding=\\"UTF-8\\"?>\\n<Error><Code>AuthorizationHeaderMalformed</Code><Message>The authorization header is malformed; the region \'us-east-1\' is wrong; expecting \'ap-northeast-1\'</Message><Region>ap-northeast-1</Region><RequestId>XXX</RequestId><HostId>XXXX</HostId></Error>"\r\n  :headers       => {\r\n    "Connection"       => "close"\r\n    "Content-Type"     => "application/xml"\r\n    "Date"             => "Tue, 18 Nov 2014 19:43:20 GMT"\r\n    "Server"           => "AmazonS3"\r\n    "x-amz-id-2"       => "XXXX"\r\n    "x-amz-request-id" => "XXXX"\r\n  }\r\n  :local_address => "X.X.X.X"\r\n  :local_port    => XXXXX\r\n  :reason_phrase => "Bad Request"\r\n  :remote_ip     => "X.X.X.X"\r\n  :status        => 400\r\n.../shared/bundle/ruby/2.1.0/gems/excon-0.41.0/lib/excon/middlewares/expects.rb:6:in `response_call\'\r\n.../shared/bundle/ruby/2.1.0/gems/excon-0.41.0/lib/excon/middlewares/response_parser.rb:8:in `response_call\'\r\n.../shared/bundle/ruby/2.1.0/gems/excon-0.41.0/lib/excon/connection.rb:365:in `response\'\r\n.../shared/bundle/ruby/2.1.0/gems/excon-0.41.0/lib/excon/connection.rb:235:in `request\'\r\n.../shared/bundle/ruby/2.1.0/gems/fog-xml-0.1.1/lib/fog/xml/sax_parser_connection.rb:37:in `request\'\r\n.../shared/bundle/ruby/2.1.0/gems/fog-xml-0.1.1/lib/fog/xml/connection.rb:7:in `request\'\r\n.../shared/bundle/ruby/2.1.0/gems/fog-1.25.0/lib/fog/aws/storage.rb:521:in `_request\'\r\n.../shared/bundle/ruby/2.1.0/gems/fog-1.25.0/lib/fog/aws/storage.rb:516:in `request\'\r\n.../shared/bundle/ruby/2.1.0/gems/fog-1.25.0/lib/fog/aws/requests/storage/get_bucket.rb:43:in `get_bucket\'\r\n.../shared/bundle/ruby/2.1.0/gems/fog-1.25.0/lib/fog/aws/models/storage/directories.rb:22:in `get\'\r\n```'
3274,'','[aws] - refactor validate_aws_region\nref: http://projects.theforeman.org/issues/8429\r\nthe second condition is not correctly evaluated.'
