@relation large.json
@attribute id integer
@attribute owner string
@attribute content string
@data
3226,'tokengeek','[Brightbox] Update Brightbox gem to add storage\nThis adds support for our Orbit storage service to the `Fog` binary.\r\n\r\nDue to the whitelisting of supported services, without these changes\r\nversions of `fog-brightbox >= 0.4.0` would error when the `shindo` tests\r\nwere starting so all Brightbox tests would be skipped.'
3204,'icco','Regression in Fock.mock causing CarrierWave specs to fail\nIt seems that fog 1.24.0 introduced a regression not present in 1.23.0 which is causing CarrierWave\'s test suite to fail. Here\'s a reproduction:\r\n\r\n``` ruby\r\nrequire \'fog\'\r\n\r\nFog.mock!\r\n\r\n[\'AWS\', \'Google\'].each do |provider|\r\n  connection = ::Fog::Storage.new({ provider: provider, google_storage_access_key_id: \'xtz\', google_storage_secret_access_key: \'yyy\', aws_access_key_id: \'blah\', aws_secret_access_key: \'moo\' })\r\n\r\n  directory = connection.directories.create(key: "xyz")\r\n  directory.files.create(body: "this is stuff", key: "moo.txt")\r\n\r\n  p directory.files.get("moo.txt").body\r\nend\r\n```\r\n\r\nOn 1.23.0 this prints:\r\n\r\n```\r\n"this is stuff"\r\n"this is stuff"\r\n```\r\n\r\nBut on 1.24.0 this fails like this:\r\n\r\n```\r\n"this is stuff"\r\n/Users/dev/.rvm/gems/ruby-2.1.2/gems/fog-1.24.0/lib/fog/google/requests/storage/get_object.rb:67:in `get_object\': object_name is required (ArgumentError)\r\n\tfrom /Users/dev/.rvm/gems/ruby-2.1.2/gems/fog-1.24.0/lib/fog/google/models/storage/files.rb:62:in `get\'\r\n\tfrom /Users/dev/.rvm/gems/ruby-2.1.2/gems/fog-1.24.0/lib/fog/google/models/storage/file.rb:31:in `body\'\r\n\tfrom test.rb:11:in `block in <main>\'\r\n\tfrom test.rb:5:in `each\'\r\n\tfrom test.rb:5:in `<main>\'\r\n```\r\n\r\nEverything works fine, but it seems that the `File` object for Google has not received a `key`. Printing out the file object looks like this:\r\n\r\n```\r\n  <Fog::Storage::Google::File\r\n    key=nil,\r\n    cache_control=nil,\r\n    content_disposition=nil,\r\n    content_encoding=nil,\r\n    content_length=13,\r\n    content_md5=nil,\r\n    content_type=nil,\r\n    etag="938e47592dc66e9082e241733ac79328",\r\n    expires=nil,\r\n    last_modified="Fri, 17 Oct 2014 07:54:03 +0000",\r\n    metadata={},\r\n    owner=nil,\r\n    storage_class=nil\r\n  >\r\n```\r\n\r\nNote that `key` is nil. This is not the case when running with AWS, and I don\'t think it\'s supposed to be, this is causing the subsequent failure when trying to read the body.'
3195,'icco','[google|dns] Add missing models, requests and tests\n- Add Zone model and tests\r\n- Add Record models, requests and tests\r\n- Add Change models, requests and tests\r\n- Add Project models, requests and tests\r\n- Add examples'
3181,'nirvdrum','Fixed attribute passing for add_interface\nServer model has an `add_interface` method. This method allows attributes to be passed so you can configure options on the interface. \r\n\r\nUnfortunately it doesn\'t pass these options to the create_interface call. This in turn leaves `attributes` empty for `create_vm.rb#create_interface` and subsequently `create_vm.rb#create_nic_backing`.\r\n\r\n When you define a `DistributedVirtualPortgroup` as the network attribute, and `create_nic_backing` doesn\'t have `attributes[:datacenter]`, you will end up with a newly created StandardPortgroup instead of the correct `DistributedVirtualPortgroup` in your Backing info for the interface. \r\n\r\nTo solve this you will need to pass along the `datacenter: \'name-your-dc-here\'` param when you call server.add_interface, along with `type`, and `network`. \r\n\r\nTested in ESX 5.5. See debug code below to replicate issue.\r\n\r\n```ruby\r\nv = Fog::Compute[:vsphere]\r\n\r\nc = v.datacenters.get(\'data-center-name-here\').virtual_machines.get(\'path/to/my/virtual/machine\')\r\n\r\n>> c.add_interface type: RbVmomi::VIM::VirtualE1000, network: \'network-name-here\', datacenter: \'data-center-name-here\'\r\n/home/vagrant/.rvm/gems/ruby-1.9.3-p547/gems/fog-1.16.0/lib/fog/vsphere/requests/compute/modify_vm_interface.rb:10\r\ninterface=get_interface_from_options(vmid, options)\r\n\r\n[5, 14] in /home/vagrant/.rvm/gems/ruby-1.9.3-p547/gems/fog-1.16.0/lib/fog/vsphere/requests/compute/modify_vm_interface.rb\r\n   5\r\n   6          def add_vm_interface(vmid, options = {})\r\n   7            raise ArgumentError, "instance id is a required parameter" unless vmid\r\n   8            debugger\r\n   9\r\n=> 10            interface=get_interface_from_options(vmid, options)\r\n   11            vm_reconfig_hardware(\'instance_uuid\' => vmid, \'hardware_spec\' => {\'deviceChange\'=>[create_interface(interface)]})\r\n   12          end\r\n   13\r\n   14          def destroy_vm_interface(vmid, options = {})\r\n(rdb:1) options\r\n{:type=>VirtualE1000, :network=>"network-name-here", :datacenter=>"data-center-name-here"}\r\n(rdb:1) n\r\n/home/vagrant/.rvm/gems/ruby-1.9.3-p547/gems/fog-1.16.0/lib/fog/vsphere/requests/compute/modify_vm_interface.rb:11\r\nvm_reconfig_hardware(\'instance_uuid\' => vmid, \'hardware_spec\' => {\'deviceChange\'=>[create_interface(interface)]})\r\n\r\n[6, 15] in /home/vagrant/.rvm/gems/ruby-1.9.3-p547/gems/fog-1.16.0/lib/fog/vsphere/requests/compute/modify_vm_interface.rb\r\n   6          def add_vm_interface(vmid, options = {})\r\n   7            raise ArgumentError, "instance id is a required parameter" unless vmid\r\n   8            debugger\r\n   9\r\n   10            interface=get_interface_from_options(vmid, options)\r\n=> 11            vm_reconfig_hardware(\'instance_uuid\' => vmid, \'hardware_spec\' => {\'deviceChange\'=>[create_interface(interface)]})\r\n   12          end\r\n   13\r\n   14          def destroy_vm_interface(vmid, options = {})\r\n   15            raise ArgumentError, "instance id is a required parameter" unless vmid\r\n(rdb:1) s\r\n/home/vagrant/.rvm/gems/ruby-1.9.3-p547/gems/fog-1.16.0/lib/fog/vsphere/requests/compute/create_vm.rb:79\r\n}\r\n\r\n[74, 83] in /home/vagrant/.rvm/gems/ruby-1.9.3-p547/gems/fog-1.16.0/lib/fog/vsphere/requests/compute/create_vm.rb\r\n   74                    :label   => nic.name,\r\n   75                    :summary => nic.summary,\r\n   76                  },\r\n   77                :backing     => create_nic_backing(nic, attributes),\r\n   78                :addressType => \'generated\')\r\n=> 79            }\r\n   80          end\r\n   81\r\n   82          def create_controller operation = :add, controller_key = 1000, bus_id = 0\r\n   83            {\r\n(rdb:1) attributes\r\n{}\r\n(rdb:1) s\r\n\r\n# <snip> I hit next three times </snip>\r\n\r\n/home/vagrant/.rvm/gems/ruby-1.9.3-p547/gems/fog-1.16.0/lib/fog/vsphere/requests/compute/create_vm.rb:53\r\nraw_network = get_raw_network(nic.network, attributes[:datacenter], if nic.virtualswitch then nic.virtualswitch end)\r\n\r\n[48, 57] in /home/vagrant/.rvm/gems/ruby-1.9.3-p547/gems/fog-1.16.0/lib/fog/vsphere/requests/compute/create_vm.rb\r\n   48            end\r\n   49            devices.flatten\r\n   50          end\r\n   51\r\n   52          def create_nic_backing nic, attributes\r\n=> 53            raw_network = get_raw_network(nic.network, attributes[:datacenter], if nic.virtualswitch then nic.virtualswitch end)\r\n   54\r\n   55            if raw_network.kind_of? RbVmomi::VIM::DistributedVirtualPortgroup\r\n   56              RbVmomi::VIM.VirtualEthernetCardDistributedVirtualPortBackingInfo(\r\n   57                :port => RbVmomi::VIM.DistributedVirtualSwitchPortConnection(\r\n(rdb:1) attributes\r\n{}\r\n(rdb:1) n\r\n/home/vagrant/.rvm/gems/ruby-1.9.3-p547/gems/fog-1.16.0/lib/fog/vsphere/requests/compute/create_vm.rb:55\r\nif raw_network.kind_of? RbVmomi::VIM::DistributedVirtualPortgroup\r\n\r\n[50, 59] in /home/vagrant/.rvm/gems/ruby-1.9.3-p547/gems/fog-1.16.0/lib/fog/vsphere/requests/compute/create_vm.rb\r\n   50          end\r\n   51\r\n   52          def create_nic_backing nic, attributes\r\n   53            raw_network = get_raw_network(nic.network, attributes[:datacenter], if nic.virtualswitch then nic.virtualswitch end)\r\n   54\r\n=> 55            if raw_network.kind_of? RbVmomi::VIM::DistributedVirtualPortgroup\r\n   56              RbVmomi::VIM.VirtualEthernetCardDistributedVirtualPortBackingInfo(\r\n   57                :port => RbVmomi::VIM.DistributedVirtualSwitchPortConnection(\r\n   58                  :portgroupKey => raw_network.key,\r\n   59                  :switchUuid   => raw_network.config.distributedVirtualSwitch.uuid\r\n(rdb:1) raw_network\r\nnil\r\n(rdb:1) raw_network = get_raw_network(nic.network, \'data-center-name-here\', if nic.virtualswitch then nic.virtualswitch end)\r\nDistributedVirtualPortgroup("dvportgroup-100")\r\n(rdb:1) raw_network.kind_of? RbVmomi::VIM::DistributedVirtualPortgroup\r\ntrue\r\n(rdb:1) get_raw_network(nic.network, attributes[:datacenter], if nic.virtualswitch then nic.virtualswitch end).kind_of? RbVmomi::VIM::DistributedVirtualPortgroup\r\nfalse\r\n(rdb:1)\r\n```'
3161,'icco','Google compute tests are failing due to Not Found error\nTravis has been failing for a while, mostly from `tests/google/models/compute/target_pools_tests.rb` failing.\r\n\r\nE.g. https://travis-ci.org/fog/fog/jobs/35336198 (and many others)\r\n\r\n@icco Can you have a look, assign a minion or something please?'
3157,'tokengeek','Number of 1.9 style hashes introduced in testing\nTravis is showing failures due to 1.9 hashes being introduced into the tests.\r\n\r\nThese should be fixed to be hash rocket versions.\r\n\r\ne.g. https://travis-ci.org/fog/fog/jobs/34821735'
3125,'icco','[google|dns] Improve non-mocked tests, add support for get_managed_zone, with tests.\n@icco please ignore the previous pull requests, this one has both commits.\r\nThis is for #2865'
3078,'icco',"[google|compute] added more HTTP load balancing resources\n'add backend services backend', global forwarding rules, target http proxies, and url maps"
3077,'icco','[google|sql] Complete support for Google Cloud SQL\n- Add models, requests and tests for Flags\r\n- Add models, requests and tests for Operations\r\n- Add models, requests and tests for Instances\r\n- Add models, requests and tests for SslCerts\r\n- Add models and requests for BackupRuns\r\n- Add examples\r\n\r\nSolves https://github.com/fog/fog/issues/2976'
3033,'icco','[google|compute] Added read metadata from file functionality\nThe patch adds the ability to read metadata from files allowing users to specify startup scripts or arbitrary metadata for instances in separate files.'
