@relation large.json
@attribute id integer
@attribute owner string
@attribute content string
@data
1637,'',"ajaxPostTimeout doesn't have to be multiplied by 1000, because it is use...\n...d as is on ScriptRenderer, so the client should just get the same value in both cases\r\n\r\n(well, ajaxPostTimeout should be the same timeout + 500ms)\r\n\r\nfixes #1617"
1636,'','Renaming the Position.scala file to ScalaPosition.scala to avoid\nname conflicts with the private class\r\n\r\nfixes #1635'
1635,'fmpwizard',"scala.io.Position needs renaming\nFurther to discussion on https://groups.google.com/forum/#!topic/liftweb/nafcSekSmjI the scala.io.Position class needs to be renamed to avoid a potential runtime error. If the class loader happens to load the official, private, scala.io.Position class before lift's public copy, then the jre will throw an IllegalAccessException if lift attempts to use it.\r\n\r\nIt also causes issues for people using sbt-assembly since assembly quite rightly complains if there are two copies of the class available."
1633,'','RequestVar not shared with custom generated AJAX\nEssentially the issue is that RequestVars have their default value when accessed in AJAX requests not generated via Lift mechanisms.\r\n\r\nSee https://groups.google.com/forum/#!topic/liftweb/h37z7msorWA for related discussion as well as https://groups.google.com/forum/#!topic/liftweb/B0A1S3JbLyU'
1632,'','Lift JSON 2.6-RC1 parser breaks with Java 8\nWe try to migrate from Java 7 to Java 8, but we get a very estrange ScalaSigParserError at the servers.\r\n\r\nI tried to isolate the error at:\r\n\r\nhttps://github.com/listatree/lift-json-java8\r\n\r\nBut it only breaks sometimes (in our servers breaks all the time).\r\n\r\nAn stacktrace error from our servers (not from the running tests) is at:\r\nhttps://github.com/listatree/lift-json-java8/blob/master/stacktrace.txt\r\n\r\nNotice the "net.liftweb.json.MappingException: unknown error" and the "scala.tools.scalap.scalax.rules.ScalaSigParserError: Unexpected failure"\r\n\r\nBy the way with java 8 at Mac OS X is running OK, the error is with java 8 at Debian GNU/Linux 7.7.\r\n\r\nThe exact versions:\r\n\r\nJava 8u25 (server version for Linux 64 bits)\r\nDebian GNU/Linux 7.7\r\nScala 2.11.2\r\nLift JSON 2.6-RC1\r\n\r\nJVM startup parameters: -Xms3072m -Xmx3072m -server -Xss8m -XX:+UseParNewGC -XX:+UseConcMarkSweepGC -XX:+UseCMSInitiatingOccupancyOnly -XX:CMSInitiatingOccupancyFraction=30\r\n\r\nSince it\'s working on Java 7 we are delaying the migration until we can clear this bug.\r\n\r\nThank you very much for Lift, it\'s an amazing piece of software !! (Y) :)'
1631,'','Remove unnecessary synchronization\nSee the thread referred to in issue #1629 for more info'
1630,'','Add implicit from tuple to SelectableOption\nfixed #1628 Add implicit from tuple to SelectableOption'
1628,'fmpwizard','Add implicit from tuple to SelectableOption\nas discussed here\r\nhttps://groups.google.com/d/topic/liftweb/bQa_jqzGMw0/discussion\r\n\r\nadd:\r\n\r\n```\r\nimplicit def tupleToSelectableOption[T](tuple: (T, String)): SelectableOption[T] =\r\n    SelectableOption(tuple._1, tuple._2)\r\n```\r\n\r\nto the object `SHtml.SelectableOption`\r\n\r\n'
1627,'','MatchError in Mappers decodeFromJSON_!\nGroup Discussion: https://groups.google.com/forum/#!topic/liftweb/fszGw9C3u_A'
1625,'',"Issue #1622 - Use property to set DefaultConnectionIdentifier.jndiName a...\n...nd change to val\r\n\r\nI wasn't sure of the best way to get #1623 onto the main branch, so I just created a new commit."
