@relation large.json
@attribute id integer
@attribute owner string
@attribute content string
@data
26377,'','1092573: Update keyboard-layouts.json to include lv in keyboard list\nrelated to https://bugzilla.mozilla.org/show_bug.cgi?id=1092573'
26376,'','1092573: Update keyboard-layouts.json to include lv in keyboard list\nrelated to https://bugzilla.mozilla.org/show_bug.cgi?id=1092573'
26373,'','Bug1099458-[Gallery][RTL]-Fix of not able to swipe in fullscreen view after viewing first image r=djf\n'
26370,'','Bug 1088224 - Enable resend overwriting test\n'
26368,'','Bug 1095805 - Update modal dialog height on resize event and not visible +autoland\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1095805'
26366,'','Unlock in ftu 2 1 bug 1088157\nPR for purposes of examining Gaia-Try results when rebased. The commit was already merged to v2.1'
26365,'','Bug 1101227 - Resolve intermittent failure in test_system_notification_b...\n...ar.py'
26358,'','Bug 1090783 - Gaia build fails due to BUILD_CONFIG\n'
26357,'',"Bug 1094550 - Unable to create a new account because Year of Birth … dropdown\ndoesn't work.\n\n - Create a value selector overlay to listen to the event for showing\n  value selector for trusted UI.\n- Let trusted UI module init its own value selector controller.\n\n r=alive."
26350,'','Bug 1102141 - KeyboardHelper.getApps() should be sync if possible +shepherd\n'
26349,'','Bug 1094129 - [Woodduck v2.0][Flame v2.1][Settings]There is no SIM setti...\n...ngs icons when you insert SIM2 only in Settings -> Cellular & Data.'
26344,'','Lissyx with test skip\n'
26340,'','Bug 1086662 - Add a test that ensures test_camera_capture_video.py saves...\n... a video file of a minimum size'
26334,'','Bug 1102220 - Always place apps in the last group when installing. r=kgrandon,crdlc\nIf the last group is collapsed, instead of placing newly installed apps\r\ninto a new group, expand that group and place it there as normal.'
26333,'','Bug 1065973 - Change lock method to turn screen off/on\n'
26329,'','Bug 1090859 - SIM PIN dialog race condition r=kgrandon\n'
26323,'','Bug 1102134 - [BB] Improve the clear button of input in object menu\n'
26320,'','Bug 1102120 - [Collection] Remove html strings from delete page +autoland\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1102120'
26319,'','Bug 1102118 - [Collection] Remove html strings from view page +autoland\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1102118'
26318,'','Bug 1095279 - Stop Keyboard app settings panel to be selectable +shepherd\n'
26314,'','Bug 1099374 - Add the target attribute to links r=eragonj\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1099374'
26310,'','Merge pull request #26125 from nullaus/bug1077595\nBug1077595\r\n(cherry picked from commit 906123b6d71bcd9d8db77227ffba7269e6cbaeb9)\r\n\r\nConflicts:\r\n\tapps/system/js/statusbar.js'
