@relation large.json
@attribute id integer
@attribute owner string
@attribute content string
@data
20114,'RickyChien','Bug 991442 - Add coverage threshold to test-agent\n'
11839,'arcturus','Bug 910164 - [Contacts] Contacts to vcard component now provides vcard header and footer r=arcturus\n...eader and footer'
11789,'arcturus','Bug 887776 - export contacts to SD Card r=arcturus\n'
11170,'vingtetun','bug 898130 - label desktop-helper as fx-compatible and set recommended maxVersion; NPOTB\n[bug 898130](https://bugzilla.mozilla.org/show_bug.cgi?id=898130), NPOTB\r\n'
10094,'julienw','Bug 874043 - airplane mode allert when sending sms\n'
10024,'etiennesegonzac','Bug 838114 - removing hidden numbers from call log fix\n'
9832,'davidflanagan','Bug 833738 - [Gallery] Image dragging added while setting the wallpaper ...\n...from gallery'
9828,'fcampo',"Bug 824366 - [FTE] hidden Wi-Fi support for first time startup\nI'll stash commits and add a reviewer to the msg after the review."
9502,'carlosmartineztoral','Bug 867040 - Tap to create event on calendar day and week views\n'
9360,'etiennesegonzac',"Bug 859555 - Localization of the information in the network operator list\nI've googletranslated French locals just for checking if it works."
9182,'gaye','Bug 802234 - Update sound setting styling for volume and tones (followup)\n'
9158,'lightsofapollo','Bug 828287 - Default to https when no scheme is provided during caldav setup r=lightsofapollo\n'
9104,'davidflanagan','Bug 856543 - scaling galery image in wallpaper app r=davidflanagan\n'
9102,'gaye','Bug 845072 - Fix style issues with synchronize select r=pivanov\n'
8857,'fabricedesre','Bug: 848604 Better abstraction for apps, internal / external\nA better abstraction for apps both internal / external. \r\nAdds some functionality in there to allow external apps to be specified by url, \r\nas well as allowing internal / external apps to be specified via config file not via a deductive process. \r\n'
8548,'benfrancis','Bug 849280 - lazyloading of HTML, CSS & JS in the browser app \n'
8384,'andreasgal','bug 846027, make bubbles around email addresses less ugly\nUX r+ from Patryk in bug'
7990,'alivedise','Bug 834712 - value selector transitions added r=alivedise\n'
7760,'alivedise','Bug 832562 - word-wrapping on conrifm modal dialog\n'
7731,'julienw','[Bug 830033, 824369] Notifications about the new available updates added\n'
7621,'jmcanterafonseca','Bug 830350 - facebook import screen on FTU is now closing after import\n'
7386,'arcturus','[Bug #817535] implementing Mozilla Basket in FTE screen\n'
7049,'daleharvey','Bug 821912 - [Video] "Delete Video" from video app long-press has no eff...\n...ect r=daleharvey'
6426,'basiclines','Bug 810512 - Cancel button added\n'
