@relation large.json
@attribute id integer
@attribute owner string
@attribute content string
@data
4147,'',"Problem with java integration\nLet's suppose that I have this java class\r\n\r\n```java\r\n/**\r\n * Created by michelperez on 11/22/14.\r\n */\r\npublic class GUI3 {\r\n\r\n    /**\r\n     * Created by michelperez on 11/22/14.\r\n     */\r\n    public interface GUI1 {\r\n\r\n        public final static Integer DEMO1 = 123;\r\n\r\n    }\r\n\r\n    public static final class GUI2 implements GUI1 {\r\n\r\n    }\r\n}\r\n```\r\n\r\nAnd if I try to use it form scala in this way\r\n\r\n```scala\r\n(new GUI3.GUI2).DEMO1\r\n```\r\n\r\nI got a compilation error, that DEMO1 isn't a member\r\n\r\nI made this test because I was trying to use scaloid but I got problems whe I try to call a Constant from a java class\r\n\r\n```scala\r\ncontactName = cursor.getString(cursor.getColumnIndex(PhoneLookup.DISPLAY_NAME))\r\n```\r\n\r\nI got that PhoneLookup.DISPLAY_NAME doesn't exists, but in java works"
4140,'','SI-8251 Remove ListBuffer.readOnly as deprecated\nComplete the story arc.'
4138,'','Fix one typo in the scaladoc of Inliners\nThe Scaladoc of `Inliners` contained one tiny typo for the word "accessibility".\r\nThis PR only fixes this typo.'
4135,'','Add curly brace (zero-or-more) in grammar for Bindings\nMissing closing curly brace as reported by Andre at https://groups.google.com/forum/#!topic/scala-language/4Zb6dc6EEFM.'
4134,'',"SI-8948 resurrect the scaladoc for Any/AnyRef/Nothing/Null.\nThey disappeared in dc1cd96 when `scala.tools.nsc.doc.DocParser` lost\r\nits `override def forScaladoc = true`, which used to trigger whether to\r\nparse `DocDef` nodes. This was deprecated in favor of a custom global\r\nwhen scaladoc was modularized out (#2226), but `DocParser` didn't get it\r\nsince it didn't override `forScaladoc` anymore...\r\n\r\nI added back `forScaladoc` in `DocParser` for consistency with\r\n`ScaladocGlobal`, although it doesn't do anything anymore."
4132,'','SI-7444 docs: null Executor allowed in ExecutionContext factories\nUpdate the ScalaDoc for the factory methods for `ExecutionContext`\r\nwhich allow a `null` `Executor`/`ExecutorService`.\r\n\r\nEnhancement of https://github.com/scala/scala/pull/4119\r\n'
4129,'','SI-8977 remove duplicate decoder.properties from scalap\nAll .properties files in sources folder are already included in the\r\npacked jar (see [line 1028][1]), so there is no need to add it again.\r\n\r\n[1]: https://github.com/scala/scala/blob/3a949a18cee6b4197a981892f305a9890e402f12/build.xml#L1028'
4128,'','SI-8932 Fix dropRight/takeRight implementations\nI looked up at all the overrides of `IterableLike#takeRight` and\r\n`IterableLike#dropRight` and replaced usages of its argument `n` with\r\n`math.max(n, 0)` every time it was being used in an index subtraction.\r\n\r\nFixes [SI-8932](https://issues.scala-lang.org/browse/SI-8932).'
4127,'','Update to Maven Ant tasks to 2.1.3\nTrying to work around an upload failure after an upgrade to JFrog.\n\nJARs uploaded with: ./push-binary-libs.sh <user> <password>'
4124,'gkossakowski',"SI-7521 Fix erasure of parametric value classes.\n`Erasure.boxingErasure` exists to ensure that we use boxed primitives\nto represent the value, if the value class has type parameters\nreferred to by its element type.\n\nHowever, this is implenented with a type map that runs deeply\nacross the type. In the enclosed test case, we have\n`Repr=Array[Int]`, which should be erased to `Array[Int]`, _not_\nto `Array[Integer]`.\n\nThis commit ensures that the `boxingErasure` map only applies\nboxing at the top level, and not within array arguments. (Other\ntype arguments will be erased, so we don't have to deal with them.)\n\nReview by @gkossakowski"
