@relation large.json
@attribute id integer
@attribute owner string
@attribute content string
@data
4124,'gkossakowski',"SI-7521 Fix erasure of parametric value classes.\n`Erasure.boxingErasure` exists to ensure that we use boxed primitives\nto represent the value, if the value class has type parameters\nreferred to by its element type.\n\nHowever, this is implenented with a type map that runs deeply\nacross the type. In the enclosed test case, we have\n`Repr=Array[Int]`, which should be erased to `Array[Int]`, _not_\nto `Array[Integer]`.\n\nThis commit ensures that the `boxingErasure` map only applies\nboxing at the top level, and not within array arguments. (Other\ntype arguments will be erased, so we don't have to deal with them.)\n\nReview by @gkossakowski"
4121,'gkossakowski',"SI-5938 Test for a FSC bug with mixin, duplicate static forwarders\nUnder resident compilation, we were getting multiple copies of static\nforwarders created for mixed in methods. It seems like the bug was\nfixed as a by-product of #4040.\n\nThis commit adds a test to show this. I've confirmed that the test\nfails appropriately with 2.11.4.\n\nFor future reference, before I figured out how to write the test\nfor this one (test/resident doesn't seem to let you run the code\nafter compiling it), I was using bash to test as follows:\n\n    (export V=2.11.x; (scalac-hash $V sandbox/t5938_1.scala; (for i in 1 2; do echo sandbox/t5938.scala; done; printf '\\n') | scalac-hash $V  -Xresident); stty echo; scala-hash $V X ; echo ':javap -public X' | scala-hash $V);\n\nReview by @gkossakowski"
4118,'adriaanm','SI-5639 Fix spurious discarding of implicit import\nIn Scala fa0cdc7b (just before 2.9.0), a regression in implicit search,\nSI-2866, was discovered by Lift and fixed. The nature of the regression was\nthat an in-scope, non-implicit symbol failed to shadow an eponymous\nimplicit import.\n\nThe fix for this introduced `isQualifyingImplicit` which discards in-scope\nimplicits when the current `Context`\'s scope contains a name-clashing\nentry.\n\nIncidentally, this proved to be a shallow solution, and we later improved\nshadowing detection in SI-4270 / 9129cfe9. That picked up cases where a\nlocally defined symbol in an intervening scope shadowed an implicit.\n\nThis commit includes the test case from the comments of SI-2866. Part of it\nis tested as a neg test (to test reporting of ambiguities), and the rest is\ntested in a run test (to test which implicits are picked.)\n\nHowever, in the test case of SI-5639, we see that the scope lookup\nperformend by `isQualifyingImplicit` is fooled by a "ghost" module symbol.\nThe apparition I\'m referring to is entered when\n`initializeFromClassPath` / `enterClassAndModule` encounters a class file\nnamed \'Baz.class\', and speculatively enters _both_ a class and module\nsymbol. AFAIK, this is done to defer parsing the class file to determine\nwhat inside. If it happens to be a Java compiled class, the module symbol\nis needed to house the static members.\n\nThis commit adds a condition that `Symbol#exists` which shines a torch\n(forces the info) in the direction of the ghost module symbol. In our test,\nthis causes it to vanish, as we only need a class symbol for the Scala\ndefined `class Baz`.\n\nThe existing `pos` test for this actually did not exercise the bug,\nseparate compilation is required. It was originally checked in to\n`pending` with this error, and then later moved to `pos` when someone\nnoticed it was not failing.\n\nTo be conservative, I\'ve predicated this fix in `-Xsource:2.12`. This is\ndone in separate commit to show that the previous fix passes the test\nsuite, rather than just tests with `-Xsource:2.12`.\n\nReview by @adriaanm'
4117,'adriaanm','SI-8449 Fix spurious error with Java raw type over a Scala class\nWhen the Scala typechecker typechecks signatures in Java sources,\nit must enable use of a type constructor without applied type\narguments (a raw type).\n\nHowever, the check in `adaptType::properTypeRequired` was too\nrestricive: it only allows raw types given a) we are typechecking a\nJava source file and b) the type constructor itself is Java defined.\n\nThe second check does not make sense; it is perfectly legal to define\na Java raw type for over a Scala defined type constructor. This commit\nremoves it.\n\nThe bug was noticed in the Scaladoc context, as it explores the\nsignatures of all Java sources so it can document them. But the\nenclosed test demonstrates the underlying bug under normal\ncompilation.\n\nReview by @adriaanm'
4116,'lrytz','SI-5413 Test for fixed owner-corruption bug with names/defaults\nFixed in SI-8111 / 2.10.4.\n\nReview by @lrytz'
4115,'adriaanm','SI-8597 Improved pattern unchecked warnings\nThe spec says that `case _: List[Int]` should be always issue\nan unchecked warning:\n\n> Types which are not of one of the forms described above are\n> also accepted as type patterns. However, such type patterns\n> will be translated to their erasure (§3.7). The Scala compiler\n> will issue an “unchecked” warning for these patterns to flag\n> the possible loss of type-safety.\n\nBut the implementation goes a little further to omit warnings\nbased on the static type of the scrutinee. As a trivial example:\n\n   def foo(s: Seq[Int]) = s match { case _: List[Int] => }\n\nneed not issue this warning.\n\nThese discriminating unchecked warnings are domain of\n`CheckabilityChecker`.\n\nLet\'s deconstruct the reported bug:\n\n  def nowarn[T] = (null: Any) match { case _: Some[T] => }\n\nWe used to determine that if the first case matched, the scrutinee\ntype would be `Some[Any]` (`Some` is covariant). If this statically\nmatches `Some[T]` in a pattern context, we don\'t need to issue an\nunchecked warning. But, our blanket use of `existentialAbstraction`\nin `matchesPattern` loosened the pattern type to `Some[Any]`, and\nthe scrutinee type was deemed compatible.\n\nI\'ve added a new method, `scrutConformsToPatternType` which replaces\npattern type variables by wildcards, but leaves other abstract\ntypes intact in the pattern type. We have to use this inside\n`CheckabilityChecker` only. If we were to make `matchesPattern`\nstricter in the same way, tests like `pos/t2486.scala` would fail.\n\nI have introduced a new symbol test to (try to) identify pattern\ntype variables introduced by `typedBind`. Its not pretty, and it\nmight be cleaner to reserve a new flag for these.\n\nI\'ve also included a test variation exercising with nested matches.\nThe pattern type of the inner case can\'t, syntactically, refer to the\npattern type variable of the enclosing case. If it could, we would\nhave to be more selective in our wildcarding in `ptMatchesPatternType`\nby restricting ourselves to type variables associated with the closest\nenclosing `CaseDef`.\n\nAs some further validation of the correctness of this patch,\nfour stray warnings have been teased out of\nneg/unchecked-abstract.scala\n\nI also had to changes `typeArgsInTopLevelType` to extract the type\narguments of `Array[T]` if `T` is an abstract type. This avoids the\n"Checkability checker says \'Uncheckable\', but uncheckable type\ncannot be found" warning and consequent overly lenient analysis.\nWithout this change, the warning was suppressed for:\n\n    def warnArray[T] = (null: Any) match { case _: Array[T] => }'
4114,'adriaanm','SI-8534 Avoid crash in erroneous SelectFromTypeTree\nPR #2374 changed the behaviour of `typedSingletonTypeTree` in the\npresence of an error typed reference tree. It incorrectly\nreturns the reference tree in case on an error. However, this is\na term tree, which is an inconsistent result with the input type\ntree. Consequently, a `typedSelectInternal` later fails when\nusing this as the qualifier of a `SelectFromTypeTree`.\n\nBoth test cases enclosed show this symptom.\n\nThis commit:\n\n  - Returns `tree` rather than `refTyped` when `refTyped` is\n    error typed or when it isn\'t suitable as a stable prefix.\n  - Avoids issuing a cascading "not a stable prefix" error if the\n    `refTyped` is error typed.\n  - Adds an extra layer of defense in `typedSelectFromTypeTree`\n    to bail out quickly if the qualifier is error typed.\n\nThe last measure is not necessary to fix this bug.\n\nReview by @adriaanm'
4113,'adriaanm','SI-8967 Only add JARs and dirs from $SCALA_HOME/lib to classpath\nThat\'s all we ship in that directory, but it seems that some\r\nJVMs freak out with a core dump if something else ends up\r\nin that directory and we add it to the boot classpath.\r\n\r\nTesting on unix:\r\n\r\n```\r\n    % rm ./build/pack/bin.complete; ant\r\n    % touch /Users/jason/code/scala/build/pack/lib/foo.txt\r\n    % mkdir /Users/jason/code/scala/build/pack/lib/dir\r\n  \xa0 % bash -x ./build/pack/bin/scala -version\r\n    ...\r\n    /Library/Java/JavaVirtualMachines/jdk1.8.0_20.jdk/Contents/Home/bin/java -Xmx256M -Xms32M -Xbootclasspath/a:/Users/jason/code/scala/build/pack/lib/dir:/Users/jason/code/scala/build/pack/lib/jline.jar:/Users/jason/code/scala/build/pack/lib/scala-actors.jar:/Users/jason/code/scala/build/pack/lib/scala-compiler.jar:/Users/jason/code/scala/build/pack/lib/scala-continuations-library_2.11-1.0.2.jar:/Users/jason/code/scala/build/pack/lib/scala-continuations-plugin_2.11.2-1.0.2.jar:/Users/jason/code/scala/build/pack/lib/scala-library.jar:/Users/jason/code/scala/build/pack/lib/scala-parser-combinators_2.11-1.0.2.jar:/Users/jason/code/scala/build/pack/lib/scala-partest-extras.jar:/Users/jason/code/scala/build/pack/lib/scala-partest-javaagent.jar:/Users/jason/code/scala/build/pack/lib/scala-reflect.jar:/Users/jason/code/scala/build/pack/lib/scala-swing_2.11-1.0.1.jar:/Users/jason/code/scala/build/pack/lib/scala-xml_2.11-1.0.2.jar:/Users/jason/code/scala/build/pack/lib/scalap.jar -classpath \'""\' -Dscala.home=/Users/jason/code/scala/build/pack -Dscala.usejavacp=true -Denv.emacs= scala.tools.nsc.MainGenericRunner -version\r\n```\r\n\r\nThe boot classpath contains `build/pack/lib/dir` but not `foo.txt`.\r\n\r\nI will seek a Windows test of the same during PR review.\r\n\r\nReview by @gourlaysama'
4103,'gkossakowski',"SI-5938 Test for a FSC bug with mixin, duplicate static forwarders\nUnder resident compilation, we were getting multiple copies of static\r\nforwarders created for mixed in methods. It seems like the bug was\r\nfixed as a by-product of #4040.\r\n\r\nThis commit adds a test to show this. I've confirmed that the test\r\nfails appropriately with 2.11.4.\r\n\r\nFor future reference, before I figured out how to write the test\r\nfor this one (test/resident doesn't seem to let you run the code\r\nafter compiling it), I was using bash to test as follows:\r\n\r\n    (export V=2.11.x; (scalac-hash $V sandbox/t5938_1.scala; (for i in 1 2; do echo sandbox/t5938.scala; done; printf '\\n') | scalac-hash $V  -Xresident); stty echo; scala-hash $V X ; echo ':javap -public X' | scala-hash $V);\r\n\r\nReview by @gkossakowski"
4102,'adriaanm','SI-8965 Account for corner case in "unrelated types" warning\nIt\'s okay for the two types to LUB to something above `Object`\nif they both individially were its supertype.'
