@relation large.json
@attribute id integer
@attribute owner string
@attribute content string
@data
2952,'BanzaiMan',"Disable --jobs flag for rbx builds\nWe're seeing issues when building with rbx, but it seems that removing the `--jobs` flag solves the issue, per #2821\r\n\r\nCould this be disabled for rbx by default until this is resolved please?"
2946,'BanzaiMan','Request to preinstall Android NDK r10c for Android language CI environment\nIt will be great if the Android NDK can be preinstalled to reduce the build time due to downloading and installing the NDK itself before each build test.'
2937,'drogus','Firefox 34.0 (beta 6) fails to load page\nWhen loaded on Firefox 34.0 beta 6, the pages (both .org and .com) draw a blank page in the Safe Mode. The logs show:\r\n\r\n```\r\nCould not read chrome manifest \'file:///Applications/Firefox%202.app/Contents/Resources/chrome.manifest\'.\r\nmutating the [[Prototype]] of an object will cause your code to run very slowly; instead create the object with the correct initial [[Prototype]] value using Object.create Preferences.jsm:378\r\nNS_ERROR_XPC_BAD_CONVERT_NATIVE: \r\nNS_ERROR_XPC_BAD_CONVERT_NATIVE:  popup.xml:31\r\nUsing //@ to indicate sourceURL pragmas is deprecated. Use //# instead app.js:97\r\nUsing //@ to indicate sourceURL pragmas is deprecated. Use //# instead app.js:587\r\nUsing //@ to indicate sourceURL pragmas is deprecated. Use //# instead app.js:87\r\nUsing //@ to indicate sourceURL pragmas is deprecated. Use //# instead app.js:81\r\nUsing //@ to indicate sourceURL pragmas is deprecated. Use //# instead app.js:67\r\nUsing //@ to indicate sourceURL pragmas is deprecated. Use //# instead app.js:26\r\nUsing //@ to indicate sourceURL pragmas is deprecated. Use //# instead app.js:176\r\n"subscribing to common" app.js:107\r\nNS_ERROR_XPC_BAD_CONVERT_NATIVE: \r\nUse of getPreventDefault() is deprecated.  Use defaultPrevented instead. app.js:15\r\n[Exception... "Could not convert Native argument"  nsresult: "0x8057000a (NS_ERROR_XPC_BAD_CONVERT_NATIVE)"  location: "JS frame :: chrome://global/content/bindings/popup.xml :: get_triggerNode :: line 31"  data: no] tabbrowser.xml:504\r\n"Attempting URL transition to /" app.js:58\r\n"Transition #0: application: calling beforeModel hook" app.js:58\r\n"Transition #0: application: calling deserialize hook" app.js:58\r\n"Transition #0: application: calling afterModel hook" app.js:58\r\n"Transition #0: index: calling beforeModel hook" app.js:58\r\n"Transition #0: index: calling deserialize hook" app.js:58\r\n"Transition #0: index: calling afterModel hook" app.js:58\r\n"Transition #0: index.current: calling beforeModel hook" app.js:58\r\n"Transition #0: index.current: calling deserialize hook" app.js:58\r\n"Transition #0: index.current: calling afterModel hook" app.js:58\r\n"Transition #0: Resolved all models on destination route; finalizing transition." app.js:58\r\n"Attempting transition to index.error" app.js:58\r\n"Travis.ajax<.ajax@https://travis-ci.org/scripts/app.js:109:20130\r\nTravis.Adapter<.ajax@https://travis-ci.org/scripts/app.js:109:14058\r\n_@https://travis-ci.org/scripts/app.js:59:16012\r\nn@https://travis-ci.org/scripts/app.js:59:14641\r\nEmber.RESTAdapter<.findQuery@https://travis-ci.org/scripts/app.js:68:32727\r\n_@https://travis-ci.org/scripts/app.js:59:16046\r\nn@https://travis-ci.org/scripts/app.js:59:14641\r\n._findFetchQuery@https://travis-ci.org/scripts/app.js:68:24186\r\n.find@https://travis-ci.org/scripts/app.js:68:23903\r\n.accessibleBy@https://travis-ci.org/scripts/app.js:107:12743\r\nTravis.ReposController<.userRepos<@https://travis-ci.org/scripts/app.js:106:12014\r\nW.get@https://travis-ci.org/scripts/app.js:58:10809\r\na@https://travis-ci.org/scripts/app.js:59:9631\r\nR<.get@https://travis-ci.org/scripts/app.js:61:18886\r\nTravis.ReposController<.viewOwned@https://travis-ci.org/scripts/app.js:106:11923\r\nTravis.ReposController<.activate@https://travis-ci.org/scripts/app.js:106:11771\r\nTravis.IndexRoute<.setupController@https://travis-ci.org/scripts/app.js:107:29398\r\n_@https://travis-ci.org/scripts/app.js:59:16012\r\nn@https://travis-ci.org/scripts/app.js:59:14641\r\nj<.setup@https://travis-ci.org/scripts/app.js:66:7585\r\nc@https://travis-ci.org/scripts/app.js:66:30126\r\nu/<@https://travis-ci.org/scripts/app.js:66:29839\r\na@https://travis-ci.org/scripts/app.js:67:11168\r\nu@https://travis-ci.org/scripts/app.js:66:29808\r\nl.prototype.transitionByIntent@https://travis-ci.org/scripts/app.js:67:934\r\nf@https://travis-ci.org/scripts/app.js:66:31930\r\nl.prototype.intermediateTransitionTo@https://travis-ci.org/scripts/app.js:67:1743\r\nU<.intermediateTransitionTo@https://travis-ci.org/scripts/app.js:66:13664\r\nz.error/i<@https://travis-ci.org/scripts/app.js:66:17192\r\ny@https://travis-ci.org/scripts/app.js:66:10767\r\nz.error@https://travis-ci.org/scripts/app.js:66:17137\r\nT@https://travis-ci.org/scripts/app.js:66:11714\r\nl@https://travis-ci.org/scripts/app.js:67:11232\r\ni.prototype.trigger@https://travis-ci.org/scripts/app.js:67:9974\r\np@https://travis-ci.org/scripts/app.js:66:31426\r\nl.prototype.transitionByIntent/n.promise<@https://travis-ci.org/scripts/app.js:67:1084\r\nm@https://travis-ci.org/scripts/app.js:60:484\r\nf@https://travis-ci.org/scripts/app.js:60:403\r\n_@https://travis-ci.org/scripts/app.js:60:1133\r\n@https://travis-ci.org/scripts/app.js:61:9253\r\nr.prototype.invoke@https://travis-ci.org/scripts/app.js:59:23830\r\nr.prototype.flush@https://travis-ci.org/scripts/app.js:59:24340\r\ni.prototype.end@https://travis-ci.org/scripts/app.js:59:19912\r\ni.prototype.run@https://travis-ci.org/scripts/app.js:59:20290\r\n_@https://travis-ci.org/scripts/app.js:59:16012\r\nv<@https://travis-ci.org/scripts/app.js:59:11867\r\nnt<.scheduleInitialize/<@https://travis-ci.org/scripts/app.js:67:17508\r\nlt.Callbacks/h@https://travis-ci.org/scripts/app.js:14:18373\r\nlt.Callbacks/d.fireWith@https://travis-ci.org/scripts/app.js:14:19182\r\n.ready@https://travis-ci.org/scripts/app.js:14:13966\r\nwt@https://travis-ci.org/scripts/app.js:14:11348\r\n" app.js:58\r\n\r\n"n[(n.length - 1)] is undefined" "E@https://travis-ci.org/scripts/app.js:66:12169\r\nU<.intermediateTransitionTo@https://travis-ci.org/scripts/app.js:66:13731\r\nz.error/i<@https://travis-ci.org/scripts/app.js:66:17193\r\ny@https://travis-ci.org/scripts/app.js:66:10768\r\nz.error@https://travis-ci.org/scripts/app.js:66:17138\r\nT@https://travis-ci.org/scripts/app.js:66:11715\r\nl@https://travis-ci.org/scripts/app.js:67:11233\r\ni.prototype.trigger@https://travis-ci.org/scripts/app.js:67:9975\r\np@https://travis-ci.org/scripts/app.js:66:31427\r\nl.prototype.transitionByIntent/n.promise<@https://travis-ci.org/scripts/app.js:67:1085\r\nm@https://travis-ci.org/scripts/app.js:60:485\r\nf@https://travis-ci.org/scripts/app.js:60:404\r\n_@https://travis-ci.org/scripts/app.js:60:1134\r\n@https://travis-ci.org/scripts/app.js:61:9254\r\nr.prototype.invoke@https://travis-ci.org/scripts/app.js:59:23831\r\nr.prototype.flush@https://travis-ci.org/scripts/app.js:59:24341\r\ni.prototype.end@https://travis-ci.org/scripts/app.js:59:19913\r\ni.prototype.run@https://travis-ci.org/scripts/app.js:59:20291\r\n_@https://travis-ci.org/scripts/app.js:59:16013\r\nv<@https://travis-ci.org/scripts/app.js:59:11868\r\nnt<.scheduleInitialize/<@https://travis-ci.org/scripts/app.js:67:17509\r\nlt.Callbacks/h@https://travis-ci.org/scripts/app.js:14:18374\r\nlt.Callbacks/d.fireWith@https://travis-ci.org/scripts/app.js:14:19183\r\n.ready@https://travis-ci.org/scripts/app.js:14:13967\r\nwt@https://travis-ci.org/scripts/app.js:14:11349\r\n" app.js:58\r\n\r\n"Attempting transition to index.loading" app.js:58\r\nTypeError: n[(n.length - 1)] is undefined app.js:66\r\nTypeError: The expression cannot be converted to return the specified type. app.js:109\r\n1415249047707\tServices.HealthReport.HealthReporter\tWARN\tNo prefs data found.\r\n```'
2932,'BanzaiMan','New android-wait-for-emulator script needs be fixed\nThis guide is outdated but explains very well when the device is ready for build (if it has not changed).\r\nhttp://devmaze.wordpress.com/2011/12/12/starting-and-stopping-android-emulators/\r\n\r\nNew android-wait-for-emulator script exits when  boot-anim value is \'running\'.\r\nI think this message is about adb server and you can not assume device is ready before \'stopped\', when UI appears and is fully booted.\r\n\r\nYou need change running for stopped, or only change "not found" by "device not found".\r\n\r\nAnd I would only increment failCounter when the message is "device not found" no "device offline".\r\n\r\nUse adb wait-for-device before the script and only change "not found" message fixes the script but as i said i\'m not sure and i m not fluent in english for explain it better.\r\n\r\nI tried here:\r\nhttp://stackoverflow.com/questions/26643444/travis-ci-android-tests-with-gradle-keep-timing-out/26655171#26655171\r\n\r\nThe main problem i see is that  the new android-21 image takes too long to start, can be running a lot, or never finish and you start the build without emulator and false ready message.(and key event menu killed because was not ready).\r\n```\r\nadb shell input keyevent 82 &\r\n404.82s$ ./gradlew build connectedCheck ${DISABLE_PREDEX:-}\r\n[1]   Killed                  input keyevent 82\r\n```\r\nHere i pass tests using your script but i think because there is not emulator ready for test\r\nhttps://travis-ci.org/ardock/iosched/builds/39704950\r\n\r\nReally i think we only need adb wait-for-device before the script. A loop waiting stopped, and a failcounter independent of messages.\r\n\r\nThanks.'
2919,'BanzaiMan','rvm get stable failing with signature verification error\nHi,\r\n\r\nSeeing errors on builds today regarding signature verification when calling rvm get stable\r\nhttps://travis-ci.org/driskell/log-courier/jobs/39367224\r\n\r\nAny ideas? I\'ve removed the "rvm get stable" and it now work - though I\'m wondering why it all of a sudden stopped working. I\'m just hoping I don\'t actually need to run the get stable, it was originally taken from a template I originally used and I thought it may be needed if the Travis VM didn\'t happen to have the latest ruby versions available.\r\n\r\nJason'
2912,'BanzaiMan','Ruby 2.1.4 Issues\nTravis CI seems to be having issues with ruby 2.1.4\r\n\r\nWith:\r\n```\r\nlanguage: ruby\r\nrvm:\r\n  - 2.1.4\r\n```\r\n\r\nI get the following error:\r\n``` shell\r\n$ rvm use 2.1.4 --install --binary --fuzzy\r\nruby-2.1.4 is not installed - installing.\r\nSearching for binary rubies, this might take some time.\r\nRequested binary installation but no rubies are available to download, consider skipping --binary flag.\r\nGemset \'\' does not exist, \'rvm ruby-2.1.4 do rvm gemset create \' first, or append \'--create\'.\r\nThe command "rvm use 2.1.4 --install --binary --fuzzy" failed and exited with 2 during .\r\n```\r\n\r\nYou can see the entire build [here](https://travis-ci.org/memorizor/memorizor-api/builds/39220540).'
2911,'BanzaiMan','November 2014 VM updates\nTimeline:\r\n\r\n- [x] 2014-10-29 23:00 UTC —\xa0`travis-cookbooks` freeze\r\n- [x] 2014-10-30 — Announce it on blog\r\n- [x] 2014-10-30/31 — Build .org VMs\r\n- [x] 2014-10-30/31 — Build .com VMs\r\n- [x] 2014-11-04 15:00 UTC — .org rollout (postponed)\r\n- [x] 2014-11-06 15:00 UTC — .com rollout'
2902,'BanzaiMan',"matrix: include: can bypass feature flag settings?\nI found what looks to be a bug, where specifying a matrix with\r\n```\r\ninclude:\r\n  - os: osx\r\n``` \r\nlines can result in OSX builds even on repositories where that feature flag has not been explicitly enabled by an email to Travis support. Hopefully the multi-os feature won't always be gated behind a feature flag, but I figured I should probably report the unexpected behavior (esp. considering how long the OSX queue has been the past few days).\r\n\r\nExample at https://travis-ci.org/JuliaWeb/HttpServer.jl/builds/38799090"
2892,'henrikhodne',"gcc-4.8 doesn't work with OS X any more\nPlease see: https://travis-ci.org/ircd-hybrid/ircd-hybrid/jobs/38583270\r\n\r\nHas something changed in this regard?"
2887,'meatballhat',"Travis should support Go vanity URLs\nWe're trying to build a project that is using vanity URLs, and it fails on Travis.\r\n\r\nhttps://travis-ci.org/GoogleCloudPlatform/gcloud-golang/jobs/38462398\r\n\r\nThe package google.golang.org/cloud lives on github.com/GoogleCloudPlatform/gcloud-golang, and Travis clones it to $GOPATH/github.com/GoogleCloudPlatform/gcloud-golang. It ends up go getting the upstream package, because google.golang.org/cloud is not locally on the GOPATH.\r\n\r\nIs there a way to override the clone destination?"
