@relation large.json
@attribute id integer
@attribute owner string
@attribute content string
@data
1296,'ebidel',"Fixes typo in Shadow DOM 201 tutorial's CSS variables code snippet\nFixes issue #1295"
1294,'','Updating links\n'
1293,'','Hobbit\n'
1292,'','Merging live.\n'
1291,'','Deploying theme color\n'
1290,'','Update index.html\ntypos'
1289,'','website error\n'
1288,'','Merge masthead changes and also change links on homepage\n'
1287,'','more translations and other fixes.\n'
1286,'',"Fixed link of masthead to go current language code.\nFixed link in masthead to go with current language code for solving #1132, and replaced contributor's guide link with github's. :)"
1284,'','Update /ja/index.html, /en/index.html and /static/samples/meter-node.js\nThe article code samples should be updated for the latest API.\r\nAnd, /static/samples/meter-node.js should be also updated for the latest API.'
1282,'','Getting this badboy live for @paulirish\n'
1281,'','L10n fr text compression\nThis was announced in #1280 \r\n\r\nAlso, I took the liberty in the EN text of fixing a number of incorrect/obsolete/suboptimal link targets, and add Stylus to the listed CSS preprocessors and nginx to the listed GZip-Static-style serer config references (as nginx is very much used for static assets and pretty much invented the gzip-static approach).\r\n\r\nBTW, that EN markup is the most horrid sort of 1995-style code… lists in paragraphs, unclosed list items, format-only B\'s and I\'s, multiple line breaks instead of pars, bolds and breaks instead of headings… Upgraded it all in the FR text but didn\'t dare touch the EN text more than was necessary. Surprised at seeing that level of HTML "hillbilliness" on HTML5Rocks though :disappointed: '
1279,'','MErging  live\n'
1278,'','Removing promises polyfill from demos. Fixes #1275\n'
1277,'','fix variable in sample code in Shadow DOM 301 tutorial\nchange `host` to `container` #1276\r\n\r\nSigned-off-by: tomoyuki kashiro <ksrtmyk@gmail.com>'
