@relation large.json
@attribute id integer
@attribute owner string
@attribute content string
@data
1296,'ebidel',"Fixes typo in Shadow DOM 201 tutorial's CSS variables code snippet\nFixes issue #1295"
1083,'samdutton',"NavTiming article: examples failed to work due to lack of jQuery\nExamples in the [Navigation Timing](http://www.html5rocks.com/en/tutorials/webperformance/basics/) don't work.\r\n\r\nIt looks like the page needs jQuery. I see `ReferenceError: $ is not defined` in the console but don't see any jQuery load on the page."
883,'paullewis',"It's December the 6th.  we need to take down the Christmas decorations\nRemove the snow from the front page."
853,'ebidel','Shadow DOM 301 article updates\n- add `event.path`\r\n- add `element.getDestinationInsertionPoints()`\r\n- use `document.importNode()` for templates\r\n- remove vendor prefixes and update DOM api changes\r\n- update devtools screenshots'
852,'ebidel',"Profile page doesn't render subtitle\n"
850,'ebidel','Template article: update to latest and greatest\n- remove vendor prefixes in JS and CSS\r\n- Update `@host` to `:host`\r\n- `document.importNode` instead of `cloneNode()`'
845,'ebidel','Shadow DOM 201: update syling\nLots of stuff has changed and is now outdated. Time for some updates!'
818,'paullewis','Top navbar link bounding boxes should be full navbar height, not just around text\nThe &lt;body&gt; &lt;header&gt; &lt;nav&gt; &lt;ul&gt; &lt;li&gt; &lt;a&gt; anchors (TUTORIAL / UPDATES / CONTRIBUTE / etc) have hit targets of just the text and some surrounding padding, which makes clicking between sections in the site require a little too much pointer finesse.  \r\n\r\nThe link bounding boxes should be extended to the height of the navbar (generally through removing padding on the surrounding &lt;ul&gt; and increasing padding on the anchor, but some fancy stuff may need to be done to get the style you want) so that generally clicking in the same horizontal region as the text in the page accomplishes the navigation.'
807,'PaulKinlan','Web App Field guide has lots of large images.\nInclude Web App Field guide in the process to compress all the PNG.'
801,'paullewis',"Scrollbars on the TOC in FF/IE\nWe have some reset styles around `::webkit-scrollbar` that I inherited from the old styles. Some users are reporting ugly scrollbars on FF and IE. I can't currently dupe, but I'm wondering if I just need to plug in an external mouse to change OSX's scroll bars to the 'always on and fat' version."
798,'paullewis',"Technitone page is broken\nhttp://www.html5rocks.com/en/tutorials/casestudies/technitone/\r\n\r\nNeeds jQuery (though not all do, so I'm thinking make it a block in the page)"
797,'paullewis',"Nav should highlight current section\nBecause it doesn't, and that's not good UX."
780,'PaulKinlan','Add a translations guide\n'
771,'petele','Update HTML5 Video Tutorial - http://www.html5rocks.com/en/tutorials/video/basics/\ndue on: 2013-12-18\r\n'
755,'paullewis','Update templates not to scroll back to top if a user stared scroll down before onload\nOn the [mobile fullscreen article](http://www.html5rocks.com/en/mobile/fullscreen/#toc-faking) I see:\r\n\r\n<blockquote>\r\n<p>You can "fake fullscreen" by auto-hiding the address bar as follows:</p>\r\n<pre>window.scrollTo(0,1);</pre>\r\n\r\n<blockquote>\r\nI am telling you this as a friend.  It exists, it is a thing, but it is a hack. Please don\'t use it.\r\n</blockquote>\r\n\r\n<p>This is a pretty simple method, the page loads and the browser bar is told to get out of the way. Unfortunately it is not standardised and not well supported. You also have to work around a bunch of quirks. For example browsers often restore the position on the page when the user navigates back to it. Using <code>window.scrollTo</code> overrides this, which annoys the user. To work around this you have to store the last position in localStorage, and deal with the edge cases (for example, if the user has the page open in multiple windows).\r\n</p>\r\n</blockquote>\r\n\r\nand I wholeheartedly agree. So let\'s update [templates/base.html](https://github.com/html5rocks/www.html5rocks.com/blob/master/templates/base.html#L356-361) and [templates/home-base.html](https://github.com/html5rocks/www.html5rocks.com/blob/master/templates/home-base.html#L96-101) not to annoy users ;)'
743,'ebidel','Article: Using HTML Imports to deliver web components\ndue on: 2013-11-08\r\ntech writer: @scottrowe'
734,'ebidel','Add fact.tip labels to notice callouts\nAdd this to base.css.'
729,'ebidel','Add fact/tip labels to notice callouts\nAdd this to base.css.'
724,'PaulKinlan','Check accuracy of www.html5rocks.com/en/tutorials/webdatabase/websql-indexeddb/\n'
722,'PaulKinlan','Check accuracy of www.html5rocks.com/en/tutorials/track/basics/\n'
721,'ebidel','Check accuracy www.html5rocks.com/en/tutorials/getusermedia/intro/\n'
720,'ebidel','Check accuracy of http://www.html5rocks.com/en/tutorials/file/filesystem/\n'
719,'adanilo','Check accuracy of www.html5rocks.com/en/tutorials/webaudio/intro/\n'
718,'PaulKinlan','Check accuracy of www.html5rocks.com/en/tutorials/cors/\n'
717,'ebidel','Check accuracy of www.html5rocks.com/en/tutorials/file/filesystem-sync/\n'
716,'adanilo','Check accuracy of www.html5rocks.com/en/mobile/optimization-and-performance/\n'
715,'adanilo','Check Accuracy of www.html5rocks.com/en/tutorials/raphael/intro/\n'
713,'adanilo','Check Accuracy of www.html5rocks.com/en/tutorials/webperformance/basics/\n'
712,'cwilso','Check accuracy of www.html5rocks.com/en/mobile/touch/\n'
711,'addyosmani','Check accuracy of www.html5rocks.com/en/tutorials/canvas/integrating/\n'
710,'paulirish','Check Accuracy of www.html5rocks.com/en/tutorials/canvas/performance/\n'
709,'jakearchibald','Check accuracy of www.html5rocks.com/en/tutorials/offline/storage/\n'
708,'ebidel','Check Accuracy of www.html5rocks.com/en/tutorials/dnd/basics/\n'
707,'paulirish','Check accuracy of www.html5rocks.com/en/tutorials/3d/css/\n'
706,'paulirish','Check accuracy of www.html5rocks.com/en/tutorials/flexbox/quick/\n'
705,'PaulKinlan','Check accuracy of www.html5rocks.com/en/tutorials/video/basics/\n'
704,'paulirish','Check Accuracy of www.html5rocks.com/en/tutorials/webfonts/quick/\n'
703,'jakearchibald','Check accuracy of www.html5rocks.com/en/tutorials/offline/whats-offline/\n'
702,'addyosmani','Check accuracy of www.html5rocks.com/en/tutorials/developertools/auditpanel/\n'
701,'PaulKinlan','Check accuracy of www.html5rocks.com/en/tutorials/workers/basics/\n'
700,'paulirish','Check accuracy of www.html5rocks.com/en/tutorials/speed/quick/\n'
699,'jakearchibald','Check accuracy of www.html5rocks.com/en/tutorials/appcache/beginner/\n'
697,'jakearchibald','Check accuracy of www.html5rocks.com/en/tutorials/offline/takingappoffline/\n'
696,'ebidel','Check accuracy of www.html5rocks.com/en/tutorials/file/dndfiles/\n'
695,'paulirish','Check accuracy of www.html5rocks.com/en/tutorials/notifications/quick/\n'
694,'paulirish','Check accuracy of www.html5rocks.com/en/tutorials/notifications/quick/\n'
693,'PaulKinlan','Check accuracy of www.html5rocks.com/en/tutorials/webdatabase/todo/\n'
692,'paulirish','Check Accuracy of http://www.html5rocks.com/en/tutorials/audio/quick/\n'
687,'ebidel','Linked translations of getUserMedia tutorial all throw 500 error\nTranslations listed for the tutorial "Capturing Audio & Video in HTML5" (http://www.html5rocks.com/en/tutorials/getusermedia/intro/) all end up on an error 500 page.\r\n\r\nThose URLs all follow the format:\r\nhttp://www.html5rocks.com/[xx]/tutorials/getusermedia/intro/\r\n\r\nlike:\r\nhttp://www.html5rocks.com/de/tutorials/getusermedia/intro/\r\nhttp://www.html5rocks.com/zh/tutorials/getusermedia/intro/'
662,'addyosmani','Access The Terminal From Chrome DevTools\ndue on: 2013-12-05\r\ntech writer: @dr4b'
646,'samdutton','WebRTC Infrastructure Article\ndue on: 2013-11-04\r\ntech writer: @scottrowe'
642,'PaulKinlan','add meta tag for twitter analytics\nThis is for analytics.twitter.com …\r\n\r\nLet\'s add this to the head of the page:\r\n\r\n    <meta property="twitter:account_id" content="1593210261" />\r\n\r\nI think we\'ll only need it until the site is verified.'
632,'paullewis','Avoiding unnecessary paints: animated GIF edition\ndue on: 2013-10-18\r\ntech writer: @arthurevans '
