@relation large.json
@attribute id integer
@attribute owner string
@attribute content string
@data
1978,'','YUI3 can\'t detect script tag load event in IE\n```\r\n//HTML Code:\r\n<img class="J-img" />\r\n<script class="J-script"></script>\r\n```\r\n```\r\n// JS Code\r\n    Y.one(\'.J-img\').on(\'load\', function () {\r\n           alert(\'img loaded\');\r\n    });                                                                                                    \r\n    Y.one(\'.J-img\').getDOMNode().src="xxxxx.jpg";\r\n    Y.one(\'.J-script\').on(\'load\', function () { \r\n           alert(\'script loaded\');\r\n    });\r\n    Y.one(\'.J-script\').getDOMNode().src="xxxxxx.js";\r\n```\r\nThis code will alert `img loaded` and `script loaded` in Chrome, but only alert `img loaded` in IE.'
1977,'','Allow configuration of mousewheel scroll speed?\nIn [scrollview-base](https://github.com/yui/yui3/blob/master/src/scrollview/js/scrollview-base.js#L923), can we be able to configure the scrollOffset variable? Right now, wheel scrolling is very slow and I have no way to change it without overriding the entire _mousewheel method.'
1974,'','Clean up loader metadata.\nThis fixes an issue in which loader-encoder-combohandler did not appear in loader metadata.\r\n\r\n@caridy \r\nCould you take a look at this when you get a chance? Thanks.'
1973,'',"PN-6992: Widget-Modality.js updated to keep correct bean count\nPN-6992: The YUI3 library only allows for a single modal overlay...but the internal bean counting mechanism didn't account for this. This refactor has made the internal STACK variable a 'global' variable, so that the internal bean counting mechanism keeps a valid count irregardless of the sandbox."
1972,'',"Fix dd in ie6, 7\nFix for https://github.com/yui/yui3/issues/1971\r\n\r\nThis pull request rolls back https://github.com/yui/yui3/pull/1831 which breaks dd in ie 6 and 7.\r\n\r\nAs I understand it, the https://github.com/yui/yui3/pull/1831 fix addresses an edge case in panel while breaking core functionality in dd.\r\n\r\nIn my testing, the edge case was only fixed in chrome and safari, I could still get past modal in firefox.\r\nAdditionally, the steps taken to reproduce the panel issue completely break panel in ie 6 - 10. This is not addressed.\r\n\r\n@ispyinternet\r\n@andrewnicols\r\nPlease chime in if I'm missing something. Thanks."
1971,'tripp',"Drag-Drop is broken in build 3.18.0 in IE7 \nI know, ie7...\r\n\r\nHere's the demo code http://jsfiddle.net/1gcwpj66/ (run from your server of choice since jsfiddle doesn't work in ie7 either). No JS error appears to be thrown, the dd listener seems to simply never be called.\r\n\r\nDrag-Drop was working fine in build 3.17.x, now fails in 3.18.0. "
1966,'','Editor - fix issue in which empty node instance throws error.\nEditor has a regression in which an error is thrown during the `removeCursor` method when the `cur` argument is not a `node` instance. This addresses that issue.\r\n\r\n@ericf @caridy \r\nThis fix is for the 3.18.0 release. Thanks!'
1965,'',"Address issue in which slashes weren't being appropriately trimmed for p...\nAddresses https://github.com/yui/yui3/issues/1964\r\n\r\n@caridy @ericf @juandopazo \r\n"
1964,'tripp','Loader - pathogen encoding fails on ie6/7\nPreceding and trailing slashes are not properly removed.'
1963,'',"Setup Y.config.global only if no user global was provided\nThe goal behind this change is to allow for YUI to work on CSP regulated sites and environments like Chrome extensions by providing the `global` in the user configuration. Setting `Y.config.global` in the user configuration doesn't trigger the use of `Function` to get to the global object.\r\n\r\nNo idea how to test the side-effects of this change.\r\n\r\n/cc @caridy @tripp"
1962,'','Implementation of custom upload method in YUI HTML5 Uploader\nHi there,\r\n\r\nthis PR allows for a custom upload method for the YUI HTML5 Uploader. The upload method can be specified on instantiation of Y.Uploader via an additional (optional) Uploader configuration attribute, uploadMethod.\r\nThe default value ("POST") means the behaviour stayed the same as the current behaviour, but this new attribute allows for the Uploader to be used with PUT as well (eg. uploadMethod: "PUT").\r\n\r\nDo let me know if you have any remarks - thanks in advance for merging this PR!\r\n\r\nKind regards,\r\nDavid'
1961,'','Update YUI Handlebars to use v2.0.0\nThis pull request adds some updates to https://github.com/yui/yui3/pull/1908 for including handlebars v2.0.0.\r\n\r\nThis is pull request is dependent on https://github.com/yui/handlebars.js/pull/2 as the updated handlebars code causes an error in the YUI Template test suite.'
1959,'','when found.configfn return false, m is null\n'
1958,'','3.x\n'
1957,'','when configFn() return null, m is null\n'
1956,'','Update YUI Handlebars to use v2.0.0\nThis passes unit tests for:\r\n- ie 6, 7, 8, 9, 10 (vms)\r\n- ie 11\r\n- safari 6.0.5\r\n- firefox 32.0.2\r\n- chrome 37.0.2 ....\r\n- ios 7.1.2\r\n- android 2.x.x (vm)\r\n- android 4.x.x (vm)\r\n\r\nIts also been tested manually in ie 6, 7, 8 with basic examples.\r\n\r\nA unit test had to be updated to reflect that a value of `false` return "false" instead of "".  (https://github.com/wycats/handlebars.js/issues/827)\r\n\r\nI didn\'t see anyting in the release notes for v2.0.0 that should cause any issues but it wouldn\'t hurt for someone to look over them as well.\r\nhttps://github.com/wycats/handlebars.js/blob/master/release-notes.md\r\n'
1955,'','Don\'t prevent-default in \'on\' for document node\nI have cherry-picked @lexander \'s commit from https://github.com/yui/yui3/pull/1865, added the following:\r\n- unit test change\r\n- logic that drops the "ms" prefix when `touchAction` is available.\r\n\r\nand made the request against dev-master.'
1954,'','Add defaultBase for setting base for groups\n@caridy @ericf\r\nThis pull request adds unit tests to https://github.com/yui/yui3/pull/1720 \r\n\r\n'
1953,'','Add test confirming that groups resolve to combine true only when set at the group level.\n@caridy @juandopazo \r\nThis pull request adds a test that sets combine to false globally results in group modules not being combined unless explicitly set at the group level.\r\n\r\nThe reality is that the combine property does not cascade down to groups but groups default to `combine:false`. I think this suits our needs for SPDY.'
1951,'okuryu',"Update docs for Y.UA.os\nCurrent doc says that only `windows` and `macintosh` are supported but from what I could read in the code many more OSes are supported. The doc wasn't simply up to date."
1950,'','Update loader and yui to optionally use pathogen encoding\nReplaces https://github.com/yui/yui3/pull/1858\r\n\r\nNeed to test cross browser.'
1949,'','Allow immediate invocation of wrapped function\nCurrent version of `throttle` will prevent the immediate invocation of the wrapped function because the `last` var is being set to function creation time instead of being set upon the first invocation of the function.\r\n\r\nI found this while running the unit tests that already exist for the class...'
1947,'okuryu','Corrected ButtonGroup docs\nDocs wrongly claimed that `Y.ButtonGroup` inherits from `Y.ButtonCore`.'
1944,'okuryu',' Fix #1943. Calls to Y.log in PluginHost are missing filter information.\nFixes:\r\nhttps://github.com/yui/yui3/issues/1943'
1943,'okuryu','Calls to Y.log in PluginHost are missing filter information\nIN PluginHost.js 2 calls to Y.log are like so:\r\nY.log("Attempt to replug an already attached plugin, and we can\'t setAttrs, because it\'s not Attribute based: " + ns);\r\nwith no filter information. Due to this they are never shown in the log.\r\nThey should be:\r\nY.log("Attempt to replug an already attached plugin, and we can\'t setAttrs, because it\'s not Attribute based: " + ns, \'error\', \'PluginHost\');'
1941,'','PN-7323 Update YUI to 3.17.2\n'
1940,'okuryu',"Examples for the different ways .on() can be used\nHad a coworker that was confused about where to find documentation on the different ways `.on()` can be used. Turns out there's a single kinda throwaway sentence in the current docs for it, so I thought adding some examples would help.\r\n\r\n![on-examples](https://cloud.githubusercontent.com/assets/49545/3930235/16b82e80-243c-11e4-9ca7-8a6297e8948a.PNG)\r\n"
1939,'okuryu','Remove <ul>, use proper sub-params instead.\nLets yuidoc render it in a much nicer format, also more useful to any tooling that may consume this data.\r\n\r\n**OLD**\r\n![old-publish-docs](https://cloud.githubusercontent.com/assets/49545/3930224/ab386efe-243b-11e4-9909-856e564e1f87.PNG)\r\n\r\n**NEW**\r\n![new-publish-docs](https://cloud.githubusercontent.com/assets/49545/3930225/b22bc8b4-243b-11e4-95c1-67a0de6844d6.PNG)\r\n'
1938,'okuryu','[loader] Fixed Gallery build tag\nRegarding [YUI Gallery Deprecation Announcement][1], it needs to removes the script to fetches the Gallery version and fixes the Gallery build tag. The last build tag is `gallery-2014.06.12-21-45`.\r\n\r\nDefault Gallery build tag within YUI will be `@GALLERY@` without this changes because CDN API ( http://yuilibrary.com/api/v1/cdn/logs ) returns an error object.\r\n\r\n[1]: http://www.yuiblog.com/blog/2014/06/16/yui-gallery-deprecation-announcement/'
1937,'','Adds test updates to #1874 \nUpdates tests for https://github.com/yui/yui3/pull/1874'
