@relation large.json
@attribute id integer
@attribute owner string
@attribute content string
@data
1971,'tripp',"Drag-Drop is broken in build 3.18.0 in IE7 \nI know, ie7...\r\n\r\nHere's the demo code http://jsfiddle.net/1gcwpj66/ (run from your server of choice since jsfiddle doesn't work in ie7 either). No JS error appears to be thrown, the dd listener seems to simply never be called.\r\n\r\nDrag-Drop was working fine in build 3.17.x, now fails in 3.18.0. "
1964,'tripp','Loader - pathogen encoding fails on ie6/7\nPreceding and trailing slashes are not properly removed.'
1951,'okuryu',"Update docs for Y.UA.os\nCurrent doc says that only `windows` and `macintosh` are supported but from what I could read in the code many more OSes are supported. The doc wasn't simply up to date."
1947,'okuryu','Corrected ButtonGroup docs\nDocs wrongly claimed that `Y.ButtonGroup` inherits from `Y.ButtonCore`.'
1944,'okuryu',' Fix #1943. Calls to Y.log in PluginHost are missing filter information.\nFixes:\r\nhttps://github.com/yui/yui3/issues/1943'
1943,'okuryu','Calls to Y.log in PluginHost are missing filter information\nIN PluginHost.js 2 calls to Y.log are like so:\r\nY.log("Attempt to replug an already attached plugin, and we can\'t setAttrs, because it\'s not Attribute based: " + ns);\r\nwith no filter information. Due to this they are never shown in the log.\r\nThey should be:\r\nY.log("Attempt to replug an already attached plugin, and we can\'t setAttrs, because it\'s not Attribute based: " + ns, \'error\', \'PluginHost\');'
1940,'okuryu',"Examples for the different ways .on() can be used\nHad a coworker that was confused about where to find documentation on the different ways `.on()` can be used. Turns out there's a single kinda throwaway sentence in the current docs for it, so I thought adding some examples would help.\r\n\r\n![on-examples](https://cloud.githubusercontent.com/assets/49545/3930235/16b82e80-243c-11e4-9ca7-8a6297e8948a.PNG)\r\n"
1939,'okuryu','Remove <ul>, use proper sub-params instead.\nLets yuidoc render it in a much nicer format, also more useful to any tooling that may consume this data.\r\n\r\n**OLD**\r\n![old-publish-docs](https://cloud.githubusercontent.com/assets/49545/3930224/ab386efe-243b-11e4-9909-856e564e1f87.PNG)\r\n\r\n**NEW**\r\n![new-publish-docs](https://cloud.githubusercontent.com/assets/49545/3930225/b22bc8b4-243b-11e4-95c1-67a0de6844d6.PNG)\r\n'
1938,'okuryu','[loader] Fixed Gallery build tag\nRegarding [YUI Gallery Deprecation Announcement][1], it needs to removes the script to fetches the Gallery version and fixes the Gallery build tag. The last build tag is `gallery-2014.06.12-21-45`.\r\n\r\nDefault Gallery build tag within YUI will be `@GALLERY@` without this changes because CDN API ( http://yuilibrary.com/api/v1/cdn/logs ) returns an error object.\r\n\r\n[1]: http://www.yuiblog.com/blog/2014/06/16/yui-gallery-deprecation-announcement/'
1935,'okuryu','Mark all Android devices as "mobile"\nThe current UA parser does not mark Android tablets, such as the Nexus 7, Nexus 10, etc., as mobile (`Y.UA.mobile`). This creates an inconsistency between Android tablets and iOS tablets, since iPads are marked as such.\r\n\r\nSeeing as 99.9% of all Android devices out there are "mobile" (modulo AndroidTV and some other edge cases), it seems like it would make the most sense to mark them all as mobile, as you\'re already doing for iOS.'
1934,'okuryu','Updating to request@2.40.0\nSee mikeal/request#993\r\n\r\nFixes #1933'
